QUOTE_TRANSCRIPTION	Common Name	LAT	LNG	COMMENTS
Kinnersley	Kinnersley	52.13333	-2.95	
Lambeth	Lambeth	51.49635	-0.11152	
Lemhethe	Lemhethe			Lambeth
Lodelowe	Lodelowe	52.37431	-2.71311	
Lodelowe	Lodelowe	52.37431	-2.71311	
London	London	42.98339	-81.23304	
London	London	51.50853	-0.12574	
London	London	51.50853	-0.12574	
London	London	51.50853	-0.12574	
London	London	51.50853	-0.12574	
London	London	42.98339	-81.23304	
London	London	51.50853	-0.12574	
Prestebury	Prestebury			Prestbury
prioratu sancti Rufi juxta Avynyonem	prioratu sancti Rufi juxta Avynyonem			that is, the Priory of St Rufus beside Avignon
prioratu sancti Rufi juxta Avynionem	prioratu sancti Rufi juxta Avynyonem			the Augustinian Priory of St Rufus beside Avignon (just south of city); this is where AO often stays while in residence
prioratu sancti Rufi juxta Avynyonem	prioratu sancti Rufi juxta Avynyonem			Priory of St Rufus beside Avignon
RBLR 2001 1320.2.28	RBLR 2001 1320.2.28	51.5	-0.11667	"Given at Westminster, per CPR (print, p427) although transcription has excluded this; ""Westminster"" appears in margin"
RBLR 3006 1330.11.7	RBLR 3006 1330.11.7			Document given at Hartlebury (like others on this day), per scan. Hartlebury = manor of Bishop of Worcester
RBLR 4503 1345.7.18<	RBLR 4503 1345.7.18<	52.05684	-2.71482	Document includes no indication of a Given at, but it is highly likely to have been Hereford considering all of these principals, so I have tagged as such pending correction|please also note that two further documents, no longer extant, are referred to within this one, dated at Sugwas (1318) and Shinfield (1320) respectively
RBLR 4504 1345.7.18<	RBLR 4504 1345.7.18<	51.21444	-0.80054	Doc undated and unlocated, but likely to be Given at Farnham in immediate aftermath of death of AO, so I'm tagging as such
Rock	Rock	41.86676	-72.44953	Rock, in Worcestershire
Ros	Ros	51.91667	-2.56667	Ross on Wye
Rue in Pontinio	Rue in Pontinio			I think this is a place somewhere en route to / from Avignon
Schenyngfelde	Schenyngfelde			Shinfield, a favorite manor of Bishop of Hereford
Shenyngfeld	Shenyngfeld			Shinfield|again, internal reference to RB being present at Shinfield on 1320.2.1
