UUID	Document Number	Doc_Year	QUOTE_TRANSCRIPTION	Common Name	ANCHOR	TYPE	URI	VOCAB_LABEL	LAT	LNG	Place_Type	Person_Gender	TAGS	Person_Named by	Role	Person_Job	COMMENTS
bb69da86-cd82-47f9-94b0-94664c93fe04	HCM 2875	1312/3	Hereford	Hereford	char-offset:143	PLACE	http://sws.geonames.org/2647074	Hereford	52.05684	-2.71482			Nominative		Nominative		
97a7f0fd-8a29-4a3d-8de9-f3ecc2ab3c58	HCM 2878	1316	Hereford	Hereford	char-offset:127	PLACE	http://sws.geonames.org/2647074	Hereford	52.05684	-2.71482			Nominative		Nominative		
c5113d94-fa14-4d46-9a8b-44a1c1e2279f	HCM 2879	1317	Hereford	Hereford	char-offset:379	PLACE	http://sws.geonames.org/2647074	Hereford	52.05684	-2.71482			Given at		Given at		
306aeaa3-5a4e-4480-8447-02fe306ce1ed	HCM 290	1312/3	Hereford	Hereford	char-offset:402	PLACE	http://sws.geonames.org/2647074	Hereford	52.05684	-2.71482			Given at		Given at		
71ee3baa-4838-4f0f-ac25-3ac0e43e2101	HCM 2995	circa 1317	Hereford	Hereford	char-offset:106	PLACE	http://sws.geonames.org/2647074	Hereford	52.05684	-2.71482			Nominative		Nominative		
44d779ad-f38f-4569-a00f-5288bef6a76a	HCM 3001	1317/8	Hereford	Hereford	char-offset:1946	PLACE	http://sws.geonames.org/2647074	Hereford	52.05684	-2.71482			Nominative		Nominative		
6fdf678c-0c0d-4a79-8198-67f97ffdce6e	HCM 3180	1312	Hereford	Hereford	char-offset:929	PLACE	http://sws.geonames.org/2647074	Hereford	52.05684	-2.71482			Given at		Given at		
e572a02e-18ee-4843-b204-d42d16648089	HCM 3198	1309/10	Hereford	Hereford	char-offset:731	PLACE	http://sws.geonames.org/2647074	Hereford	52.05684	-2.71482			Given at		Given at		
7a7f5129-0418-4b99-8667-84feedb81aca	HCM 405	1308	Hereford	Hereford	char-offset:341	PLACE	http://sws.geonames.org/2647074	Hereford	52.05684	-2.71482			Given at		Given at		
003e3f0c-4b4b-4fca-bf79-7fc0d08c2e22	HCM 412	1314	Hereford	Hereford	char-offset:433	PLACE	http://sws.geonames.org/2647074	Hereford	52.05684	-2.71482			Given at		Given at		
61009e50-cbb3-4ab4-9d04-ea2d1aaaa51b	HCM 597	1315/6	Hereford	Hereford	char-offset:109	PLACE	http://sws.geonames.org/2647074	Hereford	52.05684	-2.71482			Nominative		Nominative		
d1fa24e5-d0a7-45d1-a996-eb18184a59cc	HCM 608	1307	Hereford	Hereford	char-offset:2607	PLACE	http://sws.geonames.org/2647074	Hereford	52.05684	-2.71482			Given at		Given at		
cf8fbbe4-64e5-4631-b9de-dddadd7c3d88	HCM 608	1307	Hereford'	Hereford	char-offset:112	PLACE	http://sws.geonames.org/2647074	Hereford	52.05684	-2.71482			Nominative		Nominative		
f865d080-8959-4b20-9904-f9521eb84908	HCM 609	1307/8	Hereford	Hereford	char-offset:742	PLACE	http://sws.geonames.org/2647074	Hereford	52.05684	-2.71482			Given at		Given at		
cbf8212f-e0d1-4391-a789-c284a57ca2b5	HCM 63	1316	Hereford	Hereford	char-offset:598	PLACE	http://sws.geonames.org/2647074	Hereford	52.05684	-2.71482			Given at		Given at		
82c9edc8-6b6a-470b-96f3-73d70581ad0a	HCM 661	1305/6	Hereford	Hereford	char-offset:627	PLACE	http://sws.geonames.org/2647074	Hereford	52.05684	-2.71482			Given at		Given at		
d441bfda-91cd-4ff9-8ca1-106ba99be1ca	HCM 681	1316/7	Hereford	Hereford	char-offset:269	PLACE	http://sws.geonames.org/2647074	Hereford	52.05684	-2.71482			Given at		Given at		
c9315f0b-c129-4cd8-91c8-418d46126708	HCM 700	1311	Hereford	Hereford	char-offset:393	PLACE	http://sws.geonames.org/2647074	Hereford	52.05684	-2.71482			Given at		Given at		
102f1c0a-b148-4ea5-a33b-50ae0a44eab6	HCM 755	1317	Hereford	Hereford	char-offset:1308	PLACE	http://sws.geonames.org/2647074	Hereford	52.05684	-2.71482			Given at		Given at		
d2dde273-e9e0-4b5a-a930-a1a945a67f55	HCM 758	1314	Hereford	Hereford	char-offset:228	PLACE	http://sws.geonames.org/2647074	Hereford	52.05684	-2.71482			Nominative		Nominative		
41cd5e60-568f-46cf-b23c-60e20da7a382	HCM 773	1311/2	Hereford	Hereford	char-offset:647	PLACE	http://sws.geonames.org/2647074	Hereford	52.05684	-2.71482			Given at		Given at		
bca77b7a-3976-4d7d-a969-05d95f2c6879	HCM 773	1311/2	Hereford	Hereford	char-offset:138	PLACE	http://sws.geonames.org/2647074	Hereford	52.05684	-2.71482			Nominative		Nominative		
