Document Number	Alternate Numbering	Given At	Earliest Date	Latest Date	UUID	Person ID	PERSON + DOC	QUOTE_TRANSCRIPTION	Normalized text	Supplemental naming	TYPE	COMMENTS	LAT	LNG	TAGS	Unhandled Tags	Named by	Scribe	Principal	Witness	Dead	Gender
HCM 10			1275-01-01T00:00:00Z	1300-12-31T00:00:00Z	3d5be2ba-6586-4534-890c-54f487f3c8ee	3d5be2ba-6586-4534-890c-54f487f3c8ee	3d5be2ba-6586-4534-890c-54f487f3c8ee;HCM 10	Phillip Howettt	Philip Howell		PERSON				Witness|Scribe			Scribe		Witness		M
HCM 1003	RBLR 1732, HCM 1003	Hereford	1317-05-18T00:00:00Z		493e2eec-f31e-4b9d-8d58-095a9a3fe42a	493e2eec-f31e-4b9d-8d58-095a9a3fe42a	493e2eec-f31e-4b9d-8d58-095a9a3fe42a;HCM 1003	Richerd de Wynchecoumbe	Richard de Wynchecoumbe		PERSON	cf W. de Wycombe, precentor Leominster, composer of Sumer is ycumen in?			Principal				Principal			M
HCM 1003		Hereford	1317-05-18T00:00:00Z		82ac0d59-a4c6-4bb8-9eaa-b71b9626332c	82ac0d59-a4c6-4bb8-9eaa-b71b9626332c	82ac0d59-a4c6-4bb8-9eaa-b71b9626332c;HCM 1003	executors of the will of dominus Richard de Swynefeud, formerly bishop of Hereford	executors of Richard de Swinfield		PERSON				Principal|Collective|Clerical	Clerical	Collective		Principal			M
HCM 1003		Hereford	1317-05-18T00:00:00Z		1eb4933c-65f8-40fc-9eb8-7a62800229b5	1eb4933c-65f8-40fc-9eb8-7a62800229b5	1eb4933c-65f8-40fc-9eb8-7a62800229b5;HCM 1003	Richard de Swynefeud, formerly bishop of Hereford	Richard de Swinfield		PERSON				Dead|Clerical	Clerical					Dead	M
HCM 1003		Hereford	1317-05-18T00:00:00Z		15302ce1-9f87-44bb-b231-8333b6563542			Hereford	Hereford		PLACE		52.05684	-2.71482	Given at	Given at						
HCM 1005	RBLR 1713, HCM 1005	Bos'	1317-05-05T00:00:00Z		f9a6c639-d46f-43f9-a39d-d26024e08a6f	f9a6c639-d46f-43f9-a39d-d26024e08a6f	f9a6c639-d46f-43f9-a39d-d26024e08a6f;HCM 1005	Elianora, wife of Roger Racy	Elianora wife of Roger Racy de Bosbury	wife of Roger Racy	PERSON				Principal|Woman				Principal			W
HCM 1005		Bos'	1317-05-05T00:00:00Z		e117f75a-a2e0-433d-a5c1-0341a91a7307	e117f75a-a2e0-433d-a5c1-0341a91a7307	e117f75a-a2e0-433d-a5c1-0341a91a7307;HCM 1005	Roger Racy	Roger Racy I of Bosbury		PERSON	husband to Elianora										
HCM 1005		Bos'	1317-05-05T00:00:00Z		d32f70d1-07b8-41da-a100-1967fff70c02	d32f70d1-07b8-41da-a100-1967fff70c02	d32f70d1-07b8-41da-a100-1967fff70c02;HCM 1005	John de Kemeseye, treasurer of Hereford, one of the executors of the will of dominus Richard de Swynefeud, formerly bishop of Hereford	John de Kemeseye	treasurer of Hereford, one of the executors of the will of dominus Richard de Swynefeud, formerly bishop of Hereford	PERSON				Principal|Clerical|Agent	|Clerical|Agent			Principal			M
HCM 1005		Bos'	1317-05-05T00:00:00Z		34c4787e-7f68-4e67-a975-fc3bdac93da4	82ac0d59-a4c6-4bb8-9eaa-b71b9626332c	82ac0d59-a4c6-4bb8-9eaa-b71b9626332c;HCM 1005	executors of the will of dominus Richard de Swynefeud, formerly bishop of Hereford,	executors of Richard de Swinfield		PERSON				Principal|Agent|Collective|Clerical	Agent|Clerical	Collective		Principal			M
HCM 1005		Bos'	1317-05-05T00:00:00Z		f4c7fb82-e77a-4465-97e3-49daa6dcb1e9	1eb4933c-65f8-40fc-9eb8-7a62800229b5	1eb4933c-65f8-40fc-9eb8-7a62800229b5;HCM 1005	Richard de Swynefeud, formerly bishop of Hereford,	Richard de Swinfield		PERSON				Dead|Clerical	Clerical					Dead	M
HCM 1005		Bos'	1317-05-05T00:00:00Z		afc6ccae-db56-4fa9-a440-ecb113382ae6			Bos'.	Bosbury		PLACE		51.0097	4.36303	Given at	Given at						
HCM 1023	RBLR 1735, HCM 1023	Hereford	1317-05-19T00:00:00Z		d3511353-0cac-4ec6-a24c-3546a95e98a2	d3511353-0cac-4ec6-a24c-3546a95e98a2	d3511353-0cac-4ec6-a24c-3546a95e98a2;HCM 1023	Richard de Hamenasch', canon of Hereford	Richard de Hamenasche	canon of Hereford	PERSON				Principal|Clerical	Clerical			Principal			M
HCM 1023		Hereford	1317-05-19T00:00:00Z		7bd72286-ea0d-4058-8171-189a3aa1b82f	82ac0d59-a4c6-4bb8-9eaa-b71b9626332c	82ac0d59-a4c6-4bb8-9eaa-b71b9626332c;HCM 1023	executors of the will of dominus Richard de Swynefeud, formerly bishop of Hereford	executors of Richard de Swinfield		PERSON				Principal|Clerical|Collective	Clerical|	Collective		Principal			M
HCM 1023		Hereford	1317-05-19T00:00:00Z		9cad457c-2369-4844-8bc5-55228539e95e	1eb4933c-65f8-40fc-9eb8-7a62800229b5	1eb4933c-65f8-40fc-9eb8-7a62800229b5;HCM 1023	Richard de Swynefeud, formerly bishop of Hereford	Richard de Swinfield		PERSON				Dead|Clerical	Clerical					Dead	M
