Source	Target	Weight
John de Maddeleye	Bruneshope	1
John de Maddeleye	Gilbert Blod	2
John de Maddeleye	Roger le Tailour	1
the common bakehouse of the dean and chapter of Hereford	Richard de Brochwardyn	1
the common bakehouse of the dean and chapter of Hereford	John Pryde	1
the common bakehouse of the dean and chapter of Hereford	Hereford	1
the common bakehouse of the dean and chapter of Hereford	Brocwardin	1
the common bakehouse of the dean and chapter of Hereford	Richard Monyword	1
the common bakehouse of the dean and chapter of Hereford	William de Welynton	1
the common bakehouse of the dean and chapter of Hereford	Maddeleye	1
the common bakehouse of the dean and chapter of Hereford	la Barre	1
the common bakehouse of the dean and chapter of Hereford	Roger de Brunsope	1
the common bakehouse of the dean and chapter of Hereford	Thomas de la Barre	1
the common bakehouse of the dean and chapter of Hereford	Richard Ithenhaye	1
the common bakehouse of the dean and chapter of Hereford	Walter Tope	1
the common bakehouse of the dean and chapter of Hereford	Bruneshope	1
the common bakehouse of the dean and chapter of Hereford	Gilbert Blod	1
the common bakehouse of the dean and chapter of Hereford	Roger le Tailour	1
Richard de Brochwardyn	John Pryde	2
Richard de Brochwardyn	Hereford	1
Richard de Brochwardyn	Brocwardin	1
Richard de Brochwardyn	Richard Monyword	1
Richard de Brochwardyn	William de Welynton	1
Richard de Brochwardyn	Maddeleye	1
Richard de Brochwardyn	la Barre	1
Richard de Brochwardyn	Roger de Brunsope	1
Richard de Brochwardyn	Thomas de la Barre	1
Richard de Brochwardyn	Richard Ithenhaye	1
Richard de Brochwardyn	Walter Tope	2
Richard de Brochwardyn	Bruneshope	1
Richard de Brochwardyn	Gilbert Blod	2
Richard de Brochwardyn	Roger le Tailour	1
John Pryde	Hereford	5
John Pryde	Brocwardin	1
John Pryde	Richard Monyword	1
John Pryde	William de Welynton	2
John Pryde	Maddeleye	3
John Pryde	la Barre	3
John Pryde	Roger de Brunsope	1
John Pryde	Thomas de la Barre	3
John Pryde	Richard Ithenhaye	1
John Pryde	Walter Tope	2
John Pryde	Bruneshope	1
John Pryde	Gilbert Blod	4
John Pryde	Roger le Tailour	2
Hereford	Brocwardin	1
Hereford	William de Welynton	4
Hereford	Maddeleye	3
Hereford	la Barre	3
Hereford	Roger de Brunsope	2
Hereford	Thomas de la Barre	4
Hereford	Walter Tope	1
Hereford	Bruneshope	6
Hereford	Roger le Tailour	6
Brocwardin	Richard Monyword	1
Brocwardin	William de Welynton	1
Brocwardin	Maddeleye	1
Brocwardin	la Barre	1
Brocwardin	Roger de Brunsope	1
Brocwardin	Thomas de la Barre	1
Brocwardin	Richard Ithenhaye	1
Brocwardin	Walter Tope	1
Brocwardin	Bruneshope	1
Brocwardin	Gilbert Blod	1
Brocwardin	Roger le Tailour	1
Richard Monyword	William de Welynton	1
Richard Monyword	Maddeleye	1
Richard Monyword	la Barre	1
Richard Monyword	Roger de Brunsope	1
Richard Monyword	Thomas de la Barre	1
Richard Monyword	Walter Tope	1
Richard Monyword	Bruneshope	1
Richard Monyword	Roger le Tailour	1
William de Welynton	Maddeleye	1
William de Welynton	la Barre	1
William de Welynton	Roger de Brunsope	1
William de Welynton	Thomas de la Barre	1
William de Welynton	Richard Ithenhaye	1
William de Welynton	Walter Tope	1
William de Welynton	Bruneshope	2
William de Welynton	Gilbert Blod	3
William de Welynton	Roger le Tailour	3
Maddeleye	la Barre	2
Maddeleye	Roger de Brunsope	1
Maddeleye	Thomas de la Barre	2
Maddeleye	Richard Ithenhaye	1
Maddeleye	Walter Tope	1
Maddeleye	Bruneshope	1
Maddeleye	Gilbert Blod	2
Maddeleye	Roger le Tailour	1
la Barre	Roger de Brunsope	1
la Barre	Thomas de la Barre	3
la Barre	Richard Ithenhaye	1
la Barre	Walter Tope	1
la Barre	Bruneshope	1
la Barre	Gilbert Blod	2
la Barre	Roger le Tailour	1
Roger de Brunsope	Thomas de la Barre	1
Roger de Brunsope	Richard Ithenhaye	1
Roger de Brunsope	Walter Tope	1
Roger de Brunsope	Bruneshope	2
Roger de Brunsope	Gilbert Blod	1
Roger de Brunsope	Roger le Tailour	1
Thomas de la Barre	Richard Ithenhaye	1
Thomas de la Barre	Walter Tope	1
Thomas de la Barre	Bruneshope	1
Thomas de la Barre	Gilbert Blod	3
Thomas de la Barre	Roger le Tailour	1
Richard Ithenhaye	Walter Tope	1
Richard Ithenhaye	Bruneshope	1
Richard Ithenhaye	Roger le Tailour	1
Walter Tope	Bruneshope	1
Walter Tope	Gilbert Blod	2
Walter Tope	Roger le Tailour	1
Bruneshope	Gilbert Blod	2
Bruneshope	Roger le Tailour	3
Gilbert Blod	Roger le Tailour	4
Hereford	David de Rotherwas	2
Hereford	John Peres	3
Hereford	John Alkin	2
Hereford	land formerly of Cecilia de Badesshawe	1
Hereford	Laurence son of Phillip son of Stephen	1
Hereford	land formerly of Luke de Bergeueni,	1
Hereford	Thomas de la Felde	1
Hereford	land of the parson of St. Nicholas in Hereford	1
Hereford	Roger de Ledebury	5
David de Rotherwas	John Peres	2
David de Rotherwas	John Alkin	1
David de Rotherwas	land formerly of Cecilia de Badesshawe	1
David de Rotherwas	Laurence son of Phillip son of Stephen	1
David de Rotherwas	land formerly of Luke de Bergeueni,	1
David de Rotherwas	Thomas de la Felde	1
David de Rotherwas	land of the parson of St. Nicholas in Hereford	1
David de Rotherwas	Roger de Ledebury	2
John Peres	John Alkin	1
John Peres	land formerly of Cecilia de Badesshawe	1
John Peres	Laurence son of Phillip son of Stephen	1
John Peres	land formerly of Luke de Bergeueni,	1
John Peres	Thomas de la Felde	1
John Peres	land of the parson of St. Nicholas in Hereford	1
John Peres	Roger de Ledebury	4
John Alkin	land formerly of Cecilia de Badesshawe	1
John Alkin	Laurence son of Phillip son of Stephen	1
John Alkin	land formerly of Luke de Bergeueni,	1
John Alkin	Thomas de la Felde	1
John Alkin	land of the parson of St. Nicholas in Hereford	1
John Alkin	Roger de Ledebury	1
land formerly of Cecilia de Badesshawe	Laurence son of Phillip son of Stephen	1
land formerly of Cecilia de Badesshawe	land formerly of Luke de Bergeueni,	1
land formerly of Cecilia de Badesshawe	Thomas de la Felde	1
land formerly of Cecilia de Badesshawe	land of the parson of St. Nicholas in Hereford	1
land formerly of Cecilia de Badesshawe	Roger de Ledebury	1
Laurence son of Phillip son of Stephen	land formerly of Luke de Bergeueni,	1
Laurence son of Phillip son of Stephen	Thomas de la Felde	1
Laurence son of Phillip son of Stephen	land of the parson of St. Nicholas in Hereford	1
Laurence son of Phillip son of Stephen	Roger de Ledebury	1
land formerly of Luke de Bergeueni,	Thomas de la Felde	1
land formerly of Luke de Bergeueni,	land of the parson of St. Nicholas in Hereford	1
land formerly of Luke de Bergeueni,	Roger de Ledebury	1
Thomas de la Felde	land of the parson of St. Nicholas in Hereford	1
Thomas de la Felde	Roger de Ledebury	1
land of the parson of St. Nicholas in Hereford	Roger de Ledebury	1
Monmouth	Canterbury	1
Monmouth	priors of Monemowe and Cadwely	1
Monmouth	the dean of the church of the blessed Mary of the Arches at London	1
Monmouth	David, bishop of St. David's	1
Monmouth	Kedewelly	1
Monmouth	St. David's	1
Monmouth	London	1
Monmouth	la Boxe	1
Canterbury	priors of Monemowe and Cadwely	1
Canterbury	the dean of the church of the blessed Mary of the Arches at London	1
Canterbury	David, bishop of St. David's	1
Canterbury	Kedewelly	1
Canterbury	St. David's	1
Canterbury	London	4
Canterbury	la Boxe	1
priors of Monemowe and Cadwely	the dean of the church of the blessed Mary of the Arches at London	1
priors of Monemowe and Cadwely	David, bishop of St. David's	1
priors of Monemowe and Cadwely	Kedewelly	1
priors of Monemowe and Cadwely	St. David's	1
priors of Monemowe and Cadwely	London	1
priors of Monemowe and Cadwely	la Boxe	1
the dean of the church of the blessed Mary of the Arches at London	David, bishop of St. David's	1
the dean of the church of the blessed Mary of the Arches at London	Kedewelly	1
the dean of the church of the blessed Mary of the Arches at London	St. David's	1
the dean of the church of the blessed Mary of the Arches at London	London	1
the dean of the church of the blessed Mary of the Arches at London	la Boxe	1
David, bishop of St. David's	Kedewelly	3
David, bishop of St. David's	St. David's	3
David, bishop of St. David's	London	1
David, bishop of St. David's	la Boxe	1
Kedewelly	St. David's	3
Kedewelly	London	1
Kedewelly	la Boxe	1
St. David's	London	1
St. David's	la Boxe	1
London	la Boxe	1
the Prior of Kermerdyn	Arleye Kings	1
the Prior of Kermerdyn	Landesteffan	1
the Prior of Kermerdyn	the prior of Kedewelly	2
the Prior of Kermerdyn	David, bishop of St. David's	2
the Prior of Kermerdyn	Kedewelly	2
the Prior of Kermerdyn	Gregory, perpetual vicar of L	1
the Prior of Kermerdyn	St. David's	2
the Prior of Kermerdyn	John, rector of the church of Penbray	2
the Prior of Kermerdyn	Dean of Church of St Mary of Arches, London	1
Arleye Kings	Landesteffan	1
Arleye Kings	the prior of Kedewelly	1
Arleye Kings	David, bishop of St. David's	1
Arleye Kings	Kedewelly	1
Arleye Kings	Gregory, perpetual vicar of L	1
Arleye Kings	St. David's	1
Arleye Kings	John, rector of the church of Penbray	1
Arleye Kings	Dean of Church of St Mary of Arches, London	1
Landesteffan	the prior of Kedewelly	1
Landesteffan	David, bishop of St. David's	1
Landesteffan	Kedewelly	1
Landesteffan	Gregory, perpetual vicar of L	1
Landesteffan	St. David's	1
Landesteffan	John, rector of the church of Penbray	1
Landesteffan	Dean of Church of St Mary of Arches, London	1
the prior of Kedewelly	David, bishop of St. David's	2
the prior of Kedewelly	Kedewelly	2
the prior of Kedewelly	Gregory, perpetual vicar of L	1
the prior of Kedewelly	St. David's	2
the prior of Kedewelly	John, rector of the church of Penbray	2
the prior of Kedewelly	Dean of Church of St Mary of Arches, London	1
David, bishop of St. David's	Gregory, perpetual vicar of L	1
David, bishop of St. David's	John, rector of the church of Penbray	2
David, bishop of St. David's	Dean of Church of St Mary of Arches, London	1
Kedewelly	Gregory, perpetual vicar of L	1
Kedewelly	John, rector of the church of Penbray	2
Kedewelly	Dean of Church of St Mary of Arches, London	1
Gregory, perpetual vicar of L	St. David's	1
Gregory, perpetual vicar of L	John, rector of the church of Penbray	1
Gregory, perpetual vicar of L	Dean of Church of St Mary of Arches, London	1
St. David's	John, rector of the church of Penbray	2
St. David's	Dean of Church of St Mary of Arches, London	1
John, rector of the church of Penbray	Dean of Church of St Mary of Arches, London	1
the Prior of Kermerdyn	de la Boxe	1
the Prior of Kermerdyn	prior of Kermerdyn	1
the Prior of Kermerdyn	Kermerdyn	1
the Prior of Kermerdyn	Saint Ismael'	1
the Prior of Kermerdyn	the Priory of Kedewelly	1
the Prior of Kermerdyn	de Monem',	1
the Prior of Kermerdyn	the proctors of the said magister Maurice	1
the Prior of Kermerdyn	the church of Saint Ismael	1
de la Boxe	prior of Kermerdyn	1
de la Boxe	the prior of Kedewelly	1
de la Boxe	Kermerdyn	1
de la Boxe	Saint Ismael'	1
de la Boxe	the Priory of Kedewelly	1
de la Boxe	de Monem',	1
de la Boxe	David, bishop of St. David's	1
de la Boxe	Kedewelly	1
de la Boxe	the proctors of the said magister Maurice	1
de la Boxe	St. David's	1
de la Boxe	John, rector of the church of Penbray	1
de la Boxe	the church of Saint Ismael	1
prior of Kermerdyn	the prior of Kedewelly	1
prior of Kermerdyn	Kermerdyn	1
prior of Kermerdyn	Saint Ismael'	1
prior of Kermerdyn	the Priory of Kedewelly	1
prior of Kermerdyn	de Monem',	1
prior of Kermerdyn	David, bishop of St. David's	1
prior of Kermerdyn	Kedewelly	1
prior of Kermerdyn	the proctors of the said magister Maurice	1
prior of Kermerdyn	St. David's	1
prior of Kermerdyn	John, rector of the church of Penbray	1
prior of Kermerdyn	the church of Saint Ismael	1
the prior of Kedewelly	Kermerdyn	1
the prior of Kedewelly	Saint Ismael'	1
the prior of Kedewelly	the Priory of Kedewelly	1
the prior of Kedewelly	de Monem',	1
the prior of Kedewelly	the proctors of the said magister Maurice	1
the prior of Kedewelly	the church of Saint Ismael	1
Kermerdyn	Saint Ismael'	1
Kermerdyn	the Priory of Kedewelly	1
Kermerdyn	de Monem',	1
Kermerdyn	David, bishop of St. David's	1
Kermerdyn	Kedewelly	1
Kermerdyn	the proctors of the said magister Maurice	1
Kermerdyn	St. David's	1
Kermerdyn	John, rector of the church of Penbray	1
Kermerdyn	the church of Saint Ismael	1
Saint Ismael'	the Priory of Kedewelly	1
Saint Ismael'	de Monem',	1
Saint Ismael'	David, bishop of St. David's	1
Saint Ismael'	Kedewelly	1
Saint Ismael'	the proctors of the said magister Maurice	1
Saint Ismael'	St. David's	1
Saint Ismael'	John, rector of the church of Penbray	1
Saint Ismael'	the church of Saint Ismael	1
the Priory of Kedewelly	de Monem',	1
the Priory of Kedewelly	David, bishop of St. David's	1
the Priory of Kedewelly	Kedewelly	1
the Priory of Kedewelly	the proctors of the said magister Maurice	1
the Priory of Kedewelly	St. David's	1
the Priory of Kedewelly	John, rector of the church of Penbray	1
the Priory of Kedewelly	the church of Saint Ismael	1
de Monem',	David, bishop of St. David's	1
de Monem',	Kedewelly	1
de Monem',	the proctors of the said magister Maurice	1
de Monem',	St. David's	1
de Monem',	John, rector of the church of Penbray	1
de Monem',	the church of Saint Ismael	1
David, bishop of St. David's	the proctors of the said magister Maurice	1
David, bishop of St. David's	the church of Saint Ismael	1
Kedewelly	the proctors of the said magister Maurice	1
Kedewelly	the church of Saint Ismael	1
the proctors of the said magister Maurice	St. David's	1
the proctors of the said magister Maurice	John, rector of the church of Penbray	1
the proctors of the said magister Maurice	the church of Saint Ismael	1
St. David's	the church of Saint Ismael	1
John, rector of the church of Penbray	the church of Saint Ismael	1
Maurice de Novo	the church of Lanleweny	1
Maurice de Novo	the parish church of Saint Peter at Kermerdin	1
Maurice de Novo	manor at Castrum lupi	1
Maurice de Novo	the church of Saint Ismael	1
the church of Lanleweny	the parish church of Saint Peter at Kermerdin	1
the church of Lanleweny	manor at Castrum lupi	1
the church of Lanleweny	the church of Saint Ismael	1
the parish church of Saint Peter at Kermerdin	manor at Castrum lupi	1
the parish church of Saint Peter at Kermerdin	the church of Saint Ismael	1
manor at Castrum lupi	the church of Saint Ismael	1
Cradok' ap Morgan	Willym ap Oweyn	1
Cradok' ap Morgan	Sweynes	1
Cradok' ap Morgan	Lewelin ap Oweyn	1
Cradok' ap Morgan	Gruff[ith] ap Oweyn	1
Cradok' ap Morgan	John Iweyn	1
Willym ap Oweyn	Sweynes	1
Willym ap Oweyn	Lewelin ap Oweyn	1
Willym ap Oweyn	Gruff[ith] ap Oweyn	1
Willym ap Oweyn	John Iweyn	1
Sweynes	Lewelin ap Oweyn	1
Sweynes	Gruff[ith] ap Oweyn	1
Lewelin ap Oweyn	Gruff[ith] ap Oweyn	1
Lewelin ap Oweyn	John Iweyn	1
Gruff[ith] ap Oweyn	John Iweyn	1
John Iweyn	Robert de Penebrugg	1
John Iweyn	John Batun	2
John Iweyn	Davyd de la Barre	1
John Iweyn	William le Knoyl	1
Robert de Penebrugg	John Batun	1
Robert de Penebrugg	Peter Knoyl	1
Robert de Penebrugg	Ostrem	1
Robert de Penebrugg	William de Brewos	1
Robert de Penebrugg	Robert de Penres	1
Robert de Penebrugg	Davyd de la Barre	1
Robert de Penebrugg	William le Knoyl	1
John Batun	Peter Knoyl	2
John Batun	Ostrem	1
John Batun	William de Brewos	1
John Batun	Robert de Penres	1
John Batun	Davyd de la Barre	1
John Batun	William le Knoyl	1
Peter Knoyl	Davyd de la Barre	1
Peter Knoyl	William le Knoyl	1
Ostrem	Davyd de la Barre	1
Ostrem	William le Knoyl	1
William de Brewos	Davyd de la Barre	1
William de Brewos	William le Knoyl	1
Robert de Penres	Davyd de la Barre	1
Robert de Penres	William le Knoyl	1
Davyd de la Barre	William le Knoyl	1
Hereford	Thomas Theobaud	2
Hereford	Hugh de Wormele	2
Hereford	Hugh son of Hugh Trone de Hereford	1
Hereford	Thomas de Maddeleye	1
Hereford	bailiff of the bishop of Hereford	1
Hereford	Bertonestrete	1
John Peres	Thomas Theobaud	1
John Peres	Hugh de Wormele	2
John Peres	Hugh son of Hugh Trone de Hereford	1
John Peres	Thomas de Maddeleye	1
John Peres	bailiff of the bishop of Hereford	1
John Peres	John Page	1
John Peres	Bertonestrete	1
John Peres	Roger le Tailour	1
Thomas Theobaud	Hugh de Wormele	1
Thomas Theobaud	Hugh son of Hugh Trone de Hereford	1
Thomas Theobaud	Thomas de Maddeleye	1
Thomas Theobaud	bailiff of the bishop of Hereford	1
Thomas Theobaud	John Page	1
Thomas Theobaud	Bertonestrete	1
Thomas Theobaud	Roger le Tailour	1
Thomas Theobaud	Roger de Ledebury	1
Hugh de Wormele	Hugh son of Hugh Trone de Hereford	1
Hugh de Wormele	Thomas de Maddeleye	1
Hugh de Wormele	bailiff of the bishop of Hereford	1
Hugh de Wormele	John Page	1
Hugh de Wormele	Bertonestrete	1
Hugh de Wormele	Roger le Tailour	1
Hugh de Wormele	Roger de Ledebury	2
Hugh son of Hugh Trone de Hereford	Thomas de Maddeleye	1
Hugh son of Hugh Trone de Hereford	bailiff of the bishop of Hereford	1
Hugh son of Hugh Trone de Hereford	John Page	1
Hugh son of Hugh Trone de Hereford	Bertonestrete	1
Hugh son of Hugh Trone de Hereford	Roger le Tailour	1
Hugh son of Hugh Trone de Hereford	Roger de Ledebury	1
Thomas de Maddeleye	bailiff of the bishop of Hereford	1
Thomas de Maddeleye	John Page	1
Thomas de Maddeleye	Bertonestrete	1
Thomas de Maddeleye	Roger le Tailour	1
Thomas de Maddeleye	Roger de Ledebury	1
bailiff of the bishop of Hereford	John Page	1
bailiff of the bishop of Hereford	Bertonestrete	1
bailiff of the bishop of Hereford	Roger le Tailour	1
bailiff of the bishop of Hereford	Roger de Ledebury	1
John Page	Bertonestrete	1
John Page	Roger le Tailour	1
John Page	Roger de Ledebury	1
Bertonestrete	Roger le Tailour	1
Bertonestrete	Roger de Ledebury	1
Roger le Tailour	Roger de Ledebury	2
the monastery of St. Peter	the chapter-house at Gloucester	1
the monastery of St. Peter	John Polgroyn	1
the monastery of St. Peter	the convent of St. Peter's	1
the monastery of St. Peter	Frater John	1
the chapter-house at Gloucester	John Polgroyn	1
the chapter-house at Gloucester	the convent of St. Peter's	1
the chapter-house at Gloucester	Frater John	1
John Polgroyn	the convent of St. Peter's	1
John Polgroyn	Frater John	1
the convent of St. Peter's	Frater John	1
Derby,	Henry de Derby	1
Derby,	Canterbury	1
Derby,	Norwich	1
Derby,	the abbot of Gloucester	1
Derby,	the official of the archdeacon of Norwich	1
Derby,	London	1
Henry de Derby	Canterbury	1
Henry de Derby	Norwich	1
Henry de Derby	the abbot of Gloucester	1
Henry de Derby	the official of the archdeacon of Norwich	1
Henry de Derby	London	1
Canterbury	Norwich	1
Canterbury	the abbot of Gloucester	1
Canterbury	the official of the archdeacon of Norwich	1
Norwich	the abbot of Gloucester	1
Norwich	the official of the archdeacon of Norwich	1
Norwich	London	1
the abbot of Gloucester	the official of the archdeacon of Norwich	1
the abbot of Gloucester	London	1
the official of the archdeacon of Norwich	London	1
John de Bristol	Bristol	1
John de Bristol	Gloucester	1
John de Bristol	John Thoky	1
Bristol	Gloucester	1
Bristol	John Thoky	1
Gloucester	John Thoky	1
Weston	Hunteleye	1
Weston	the sheriff of Gloucestershire	1
Weston	Lassindon’	1
Weston	Ryonnes	1
Weston	the king's justices	1
Weston	the king	1
Weston	Wygorn'	1
Weston	Gloucester	1
Weston	Edward II	1
Weston	Menstr’ in island of Thanet	1
Weston	Gloucestershire	1
Weston	the abbot of Gloucester	1
Weston	Hengham	1
Hunteleye	the sheriff of Gloucestershire	1
Hunteleye	Lassindon’	1
Hunteleye	Ryonnes	1
Hunteleye	the king's justices	1
Hunteleye	the king	1
Hunteleye	Wygorn'	1
Hunteleye	Gloucester	1
Hunteleye	Edward II	1
Hunteleye	Menstr’ in island of Thanet	1
Hunteleye	Gloucestershire	1
Hunteleye	the abbot of Gloucester	1
Hunteleye	Hengham	1
the sheriff of Gloucestershire	Lassindon’	1
the sheriff of Gloucestershire	Ryonnes	1
the sheriff of Gloucestershire	the king's justices	1
the sheriff of Gloucestershire	the king	1
the sheriff of Gloucestershire	Wygorn'	1
the sheriff of Gloucestershire	Gloucester	1
the sheriff of Gloucestershire	Edward II	1
the sheriff of Gloucestershire	Menstr’ in island of Thanet	1
the sheriff of Gloucestershire	Gloucestershire	1
the sheriff of Gloucestershire	the abbot of Gloucester	1
the sheriff of Gloucestershire	Hengham	1
Lassindon’	Ryonnes	1
Lassindon’	the king's justices	1
Lassindon’	the king	1
Lassindon’	Wygorn'	1
Lassindon’	Gloucester	1
Lassindon’	Edward II	1
Lassindon’	Menstr’ in island of Thanet	1
Lassindon’	Gloucestershire	1
Lassindon’	the abbot of Gloucester	1
Lassindon’	Hengham	1
Ryonnes	the king's justices	1
Ryonnes	the king	1
Ryonnes	Wygorn'	1
Ryonnes	Gloucester	1
Ryonnes	Edward II	1
Ryonnes	Menstr’ in island of Thanet	1
Ryonnes	Gloucestershire	1
Ryonnes	the abbot of Gloucester	1
Ryonnes	Hengham	1
the king's justices	the king	1
the king's justices	Wygorn'	1
the king's justices	Gloucester	1
the king's justices	Edward II	1
the king's justices	Menstr’ in island of Thanet	1
the king's justices	Gloucestershire	1
the king's justices	the abbot of Gloucester	1
the king's justices	Hengham	1
the king	Wygorn'	1
the king	Gloucester	1
the king	Edward II	1
the king	Menstr’ in island of Thanet	1
the king	Gloucestershire	1
the king	the abbot of Gloucester	1
the king	Hengham	1
Wygorn'	Gloucester	1
Wygorn'	Edward II	1
Wygorn'	Menstr’ in island of Thanet	1
Wygorn'	Gloucestershire	1
Wygorn'	the abbot of Gloucester	1
Wygorn'	Hengham	1
Gloucester	Edward II	2
Gloucester	Menstr’ in island of Thanet	1
Gloucester	Gloucestershire	1
Gloucester	the abbot of Gloucester	1
Gloucester	Hengham	1
Edward II	Menstr’ in island of Thanet	1
Edward II	Gloucestershire	1
Edward II	the abbot of Gloucester	1
Edward II	Hengham	1
Menstr’ in island of Thanet	Gloucestershire	1
Menstr’ in island of Thanet	the abbot of Gloucester	1
Menstr’ in island of Thanet	Hengham	1
Gloucestershire	the abbot of Gloucester	1
Gloucestershire	Hengham	1
the abbot of Gloucester	Hengham	1
William de Wanetyng	Reginald de Todeworth	1
William de Wanetyng	the chapter-house at Gloucester	1
William de Wanetyng	the manor-house of Culn’ Roger	1
William de Wanetyng	Salisbury (Nova Sarum)	1
William de Wanetyng	Wanetyng	1
William de Wanetyng	Gloucester	1
William de Wanetyng	Todeworth	1
William de Wanetyng	John, abbot of the convent of St Peter's, Gloucester	1
William de Wanetyng	the convent of St. Peter's, Gloucester	1
William de Wanetyng	the monastery of Gloucester	1
Reginald de Todeworth	the chapter-house at Gloucester	1
Reginald de Todeworth	the manor-house of Culn’ Roger	1
Reginald de Todeworth	Salisbury (Nova Sarum)	1
Reginald de Todeworth	Wanetyng	1
Reginald de Todeworth	Gloucester	1
Reginald de Todeworth	Todeworth	1
Reginald de Todeworth	John, abbot of the convent of St Peter's, Gloucester	1
Reginald de Todeworth	the convent of St. Peter's, Gloucester	1
Reginald de Todeworth	the monastery of Gloucester	1
the chapter-house at Gloucester	the manor-house of Culn’ Roger	1
the chapter-house at Gloucester	Salisbury (Nova Sarum)	1
the chapter-house at Gloucester	Wanetyng	1
the chapter-house at Gloucester	Gloucester	3
the chapter-house at Gloucester	Todeworth	1
the chapter-house at Gloucester	John, abbot of the convent of St Peter's, Gloucester	1
the chapter-house at Gloucester	the convent of St. Peter's, Gloucester	1
the chapter-house at Gloucester	the monastery of Gloucester	1
the manor-house of Culn’ Roger	Salisbury (Nova Sarum)	1
the manor-house of Culn’ Roger	Wanetyng	1
the manor-house of Culn’ Roger	Gloucester	1
the manor-house of Culn’ Roger	Todeworth	1
the manor-house of Culn’ Roger	John, abbot of the convent of St Peter's, Gloucester	1
the manor-house of Culn’ Roger	the convent of St. Peter's, Gloucester	1
the manor-house of Culn’ Roger	the monastery of Gloucester	1
Salisbury (Nova Sarum)	Wanetyng	1
Salisbury (Nova Sarum)	Gloucester	1
Salisbury (Nova Sarum)	Todeworth	1
Salisbury (Nova Sarum)	John, abbot of the convent of St Peter's, Gloucester	1
Salisbury (Nova Sarum)	the convent of St. Peter's, Gloucester	1
Salisbury (Nova Sarum)	the monastery of Gloucester	1
Wanetyng	Gloucester	1
Wanetyng	Todeworth	1
Wanetyng	John, abbot of the convent of St Peter's, Gloucester	1
Wanetyng	the convent of St. Peter's, Gloucester	1
Wanetyng	the monastery of Gloucester	1
Gloucester	Todeworth	1
Gloucester	John, abbot of the convent of St Peter's, Gloucester	1
Gloucester	the convent of St. Peter's, Gloucester	1
Gloucester	the monastery of Gloucester	1
Todeworth	John, abbot of the convent of St Peter's, Gloucester	1
Todeworth	the convent of St. Peter's, Gloucester	1
Todeworth	the monastery of Gloucester	1
John, abbot of the convent of St Peter's, Gloucester	the convent of St. Peter's, Gloucester	1
John, abbot of the convent of St Peter's, Gloucester	the monastery of Gloucester	1
the convent of St. Peter's, Gloucester	the monastery of Gloucester	1
Chester	John Thoky	1
Chester	Edward I	1
Chester	Roger de Cestr	1
Chester	Lincoln	1
Chester	the abbot and convent of St. Peter's, Gloucester,	1
Chester	Edward II	1
John Thoky	Edward I	1
John Thoky	Roger de Cestr	1
John Thoky	Lincoln	1
John Thoky	the abbot and convent of St. Peter's, Gloucester,	1
John Thoky	Edward II	1
Edward I	Roger de Cestr	1
Edward I	Lincoln	1
Edward I	the abbot and convent of St. Peter's, Gloucester,	1
Edward I	Edward II	1
Roger de Cestr	Lincoln	1
Roger de Cestr	the abbot and convent of St. Peter's, Gloucester,	1
Roger de Cestr	Edward II	1
Lincoln	the abbot and convent of St. Peter's, Gloucester,	1
Lincoln	Edward II	1
the abbot and convent of St. Peter's, Gloucester,	Edward II	1
William de Pydesmore	Clifford	1
William de Pydesmore	Thomas Le Brut	1
William de Pydesmore	Thomas Kec	1
William de Pydesmore	Henry de Wyke	1
William de Pydesmore	Masyntone	1
William de Pydesmore	Wyke	1
William de Pydesmore	Hugh Odierne	1
William de Pydesmore	John	1
William de Pydesmore	Alice	1
William de Pydesmore	William de Clifford	1
William de Pydesmore	Pydesmore	1
William de Pydesmore	Richard le Balun	1
William de Pydesmore	Stephen de Masyntone	1
William de Pydesmore	Stanedichss	1
Clifford	Thomas Le Brut	1
Clifford	Thomas Kec	1
Clifford	Henry de Wyke	1
Clifford	Masyntone	1
Clifford	Wyke	1
Clifford	Hugh Odierne	1
Clifford	John	1
Clifford	Alice	1
Clifford	William de Clifford	1
Clifford	Pydesmore	1
Clifford	Richard le Balun	1
Clifford	Stephen de Masyntone	1
Clifford	Stanedichss	1
Thomas Le Brut	Thomas Kec	1
Thomas Le Brut	Henry de Wyke	1
Thomas Le Brut	Masyntone	1
Thomas Le Brut	Wyke	1
Thomas Le Brut	Hugh Odierne	1
Thomas Le Brut	John	1
Thomas Le Brut	Alice	1
Thomas Le Brut	William de Clifford	1
Thomas Le Brut	Pydesmore	1
Thomas Le Brut	Richard le Balun	1
Thomas Le Brut	Stephen de Masyntone	1
Thomas Le Brut	Stanedichss	1
Thomas Kec	Henry de Wyke	1
Thomas Kec	Masyntone	1
Thomas Kec	Wyke	1
Thomas Kec	Hugh Odierne	1
Thomas Kec	John	1
Thomas Kec	Alice	1
Thomas Kec	William de Clifford	1
Thomas Kec	Pydesmore	1
Thomas Kec	Richard le Balun	1
Thomas Kec	Stephen de Masyntone	1
Thomas Kec	Stanedichss	1
Henry de Wyke	Masyntone	1
Henry de Wyke	Wyke	1
Henry de Wyke	Hugh Odierne	1
Henry de Wyke	John	1
Henry de Wyke	Alice	1
Henry de Wyke	William de Clifford	1
Henry de Wyke	Pydesmore	1
Henry de Wyke	Richard le Balun	1
Henry de Wyke	Stephen de Masyntone	1
