Source	Target	Weight
the land of John Pryde	the convent of the Lanthon Primaa of the diocese of St. David's	1
the land of John Pryde	the pasture of the bishop of Hereford	1
the land of John Pryde	the land which belonged to Thomas Theobaud	1
the land of John Pryde	the land of the dean and chapter of Hereford	1
the land of John Pryde	Kingston	1
the land of Reginald Syward	the land of Thomas Theobaud	1
the land of Reginald Syward	Dominus Hugh de Brehousa	1
the land of Reginald Syward	the land of John Throm	1
the land of Reginald Syward	the land of the prebend of Gorewalle	1
the land of Reginald Syward	the land of the said dominus Hugh	1
the land of Reginald Syward	the land of Giles le deyare	1
the land of Reginald Syward	Lanton	1
the land of Reginald Syward	the pasture of the bishops two acres lay in Gaerlecroft	1
the land of Reginald Syward	the land which belonged to John Lylie	1
the land of Reginald Syward	the monastery of Lanthon' Prima of the diocese of St. Davids	1
the land of Reginald Syward	the convent of the Lanthon Primaa of the diocese of St. David's	1
the land of Reginald Syward	the pasture of the bishop of Hereford	1
the land of Reginald Syward	the land which belonged to Thomas Theobaud	1
the land of Reginald Syward	the land of the dean and chapter of Hereford	1
the land of Reginald Syward	Kingston	1
the land of Thomas Theobaud	Dominus Hugh de Brehousa	1
the land of Thomas Theobaud	the land of John Throm	1
the land of Thomas Theobaud	the land of the prebend of Gorewalle	1
the land of Thomas Theobaud	the land of the said dominus Hugh	1
the land of Thomas Theobaud	the land of Giles le deyare	1
the land of Thomas Theobaud	Lanton	1
the land of Thomas Theobaud	the pasture of the bishops two acres lay in Gaerlecroft	1
the land of Thomas Theobaud	the land which belonged to John Lylie	1
the land of Thomas Theobaud	the monastery of Lanthon' Prima of the diocese of St. Davids	1
the land of Thomas Theobaud	the convent of the Lanthon Primaa of the diocese of St. David's	1
the land of Thomas Theobaud	the pasture of the bishop of Hereford	1
the land of Thomas Theobaud	the land which belonged to Thomas Theobaud	1
the land of Thomas Theobaud	the land of the dean and chapter of Hereford	1
the land of Thomas Theobaud	Kingston	1
Dominus Hugh de Brehousa	the land of John Throm	1
Dominus Hugh de Brehousa	the land of the prebend of Gorewalle	1
Dominus Hugh de Brehousa	the land of the said dominus Hugh	1
Dominus Hugh de Brehousa	the land of Giles le deyare	1
Dominus Hugh de Brehousa	Lanton	1
Dominus Hugh de Brehousa	the pasture of the bishops two acres lay in Gaerlecroft	1
Dominus Hugh de Brehousa	the land which belonged to John Lylie	1
Dominus Hugh de Brehousa	the monastery of Lanthon' Prima of the diocese of St. Davids	1
Dominus Hugh de Brehousa	the convent of the Lanthon Primaa of the diocese of St. David's	1
