"source","relation","target","source_id","source_tags","target_id","target_tags"
"Ranulf de Evesham, their clerk","Proxy","Dean and chapter of Hereford","bcbd42aa-ae73-453b-823f-b6b26911e594","Scribe","f8f9509d-21fe-4ba7-8af0-7ac4a60928e7","Collective|Principal"
"William the Young","Proxy","Dean and chapter of Hereford","7ea7ebae-daab-4b73-a5f8-7e0792d33227","Scribe","89fb7f4c-5666-432c-a0b4-c56f54910e90","Collective|Principal"
"William the Young","Proxy","Dean and chapter of Hereford","7d930cb2-d1f5-4b32-8f8a-08bf24d88703","Scribe","c2151fea-78dd-45d9-9139-76343822a327","Collective|Principal"
