Id	Node Type	Doc_Copy status	Doc_Material features	Doc_Language
HCM 1975	Document		Mutilated	Latin
HCM 2059	Document			Latin.
HCM 1281	Document			Latin
HCM 1265	Document		Seal.	Latin
HCM 1311	Document		Seal	Latin.
HCM 1264	Document		Seal.	Latin
HCM 1247	Document			Latin
HCM 678	Document			Latin
HCM 661	Document			Latin
HCM 623	Document			Latin
HCM 680	Document			Latin
HCM 670	Document			Latin
HCM 1974	Document			
HCM 1313	Document			
HCM 384	Document			
