Source	Target	Role
HCM 1836	Corston	Other
HCM 2668	Cotinton	Nominative
HCM 2670	Cotinton	Nominative
HCM 2671	Cotinton	Nominative
HCM 2718	Cotinton	Nominative
HCM 3162	Coventry	Other
HCM 755	Credeleye	Other
HCM 1918	crose	Nominative
HCM 1485	cruce,	Nominative
HCM 1679	Cubberleye	Other
HCM 1622	Culn’ Roger'	Other
HCM 1746	Cuthbristl'	Other
HCM 1975	Dan	Nominative
HCM 1505	de la Boxe	Nominative
HCM 1247	de le Halle	Nominative
HCM 1505	de Monem',	Nominative
HCM 2159	Dene	Nominative
HCM 1599	Derby,	Nominative
HCM 681	Deuswalle	Other
HCM 681	Deusweschirche	Other
HCM 678	Deweswalle	Other
HCM 680	Deweswalle	Given at
HCM 680	Deweswalle	Other
HCM 1703	ditch	Other
HCM 2260	Donecastr’	Nominative
HCM 1836	Dudelebury	Given at
HCM 1836	Dudelebury	Nominative
HCM 1836	Dudelebury	Other
HCM 2145	Dudelebury	Other
HCM 2593	Dudelebury	Other
HCM 2875	Dudelebury	Nominative
HCM 196	Dudeleye	Nominative
HCM 2226	Dunre	Nominative
HCM 670	Elmore	Other
HCM 1442	England	Nominative
HCM 1442	England	Other
HCM 1443	England	Other
HCM 2096	England	Nominative
HCM 2597	England	Other
HCM 2598	England	Other
HCM 2599	England	Other
HCM 2600	England	Other
HCM 2674	England	Nominative
HCM 2717	England	Other
HCM 2721	England	Other
HCM 2722	England	Other
HCM 2723	England	Other
HCM 2873	Ereyntonia	Nominative
HCM 1751	Estenouere	Nominative
HCM 1918	Estenouere	Nominative
HCM 1751	Estenoveresfeld	Other
HCM 1367	Evesham	Given at
HCM 2717	Evesham	Other
HCM 2879	five acres of arable land	Other
HCM 3162	Flanders	Other
HCM 1930	Florence	Nominative
HCM 2674	Florence	Nominative
HCM 2665	Foston'	Nominative
HCM 2096	Fouleslough	Other
HCM 593	Fowehop	Given at
HCM 593	Fowehop	Other
HCM 1658	Freinelode	Other
HCM 2674	Friscobald'	Nominative
HCM 2464	Galuerhull	Nominative
HCM 2871	Gardino	Nominative
HCM 1169	Garlecroft	Other
HCM 2096	Garlecroft	Other
HCM 2876	Gerlecroftes	Other
HCM 2463	Given in the chapter-house at Hereford	Given at
HCM 2464	Given in the chapter-house at Hereford	Given at
HCM 1438	Glouc'	Nominative
HCM 1581	Gloucester	Other
HCM 1599	Gloucester	Other
HCM 1610	Gloucester	Given at
HCM 1610	Gloucester	Nominative
HCM 1621	Gloucester	Nominative
HCM 1621	Gloucester	Other
HCM 1622	Gloucester	Given at
HCM 1622	Gloucester	Other
HCM 1652	Gloucester	Other
HCM 1657	Gloucester	Other
HCM 1658	Gloucester	Other
HCM 1679	Gloucester	Other
HCM 1682	Gloucester	Given at
HCM 1682	Gloucester	Other
HCM 1683	Gloucester	Given at
HCM 1683	Gloucester	Other
HCM 1746	Gloucester	Other
HCM 2217	Gloucester	Given at
HCM 2217	Gloucester	Nominative
HCM 3155	Gloucester	Other
HCM 1621	Gloucestershire	Nominative
HCM 2059	Gloucestr'	Nominative
HCM 2251	Gloucestr'	Nominative
HCM 2596	Gloucestr'	Nominative
HCM 2874	Gloucestr'	Nominative
HCM 758	Gloucestr'	Nominative
HCM 3215 A	Goodrich Castell’	Given at
HCM 3215 A	Goodrich Castell’	Other
HCM 1169	Gorewalle	Other
HCM 2096	Gorewalle	Nominative
HCM 1703	Gosenordesbrok	Other
HCM 1311	Gower	Nominative
HCM 1313	Gower	Nominative
HCM 1523	Gower	Other
HCM 1768	Gower	Nominative
HCM 1768	Gower	Other
HCM 174	green way (viridam viam) of the king	Other
HCM 680	Grene	Nominative
HCM 680	Grene	Other
HCM 1443	Gynes	Nominative
HCM 670	Gyse	Nominative
HCM 2996	Gyues	Nominative
HCM 1851	Halstede	Nominative
HCM 2145	Halton	Nominative
HCM 2870	Hamenays	Nominative
HCM 670	Harsecumb	Nominative
HCM 608	Hathyotiscroft	Other
HCM 1581	HCM	Other
HCM 2721	HCM	Other
HCM 432	HCM	Other
HCM 1504	he Court of Arches	Other
HCM 1368	Heiebur' near London	Given at
HCM 1736	Hengham	Nominative
HCM 181	Henle	Nominative
HCM 1848	Henle	Nominative
HCM 755	Henle	Nominative
HCM 2666	henor';	Nominative
HCM 2583	Henouere	Given at
HCM 2583	Henouere	Nominative
HCM 2584	Henouere	Given at
HCM 2584	Henouere	Nominative
HCM 2589	Henouere	Nominative
HCM 2463	Henthlan.	Nominative
HCM 700	Herdemon	Nominative
HCM 589	Herdewyk	Given at
HCM 1003	Hereford	Given at
HCM 1003	Hereford	Nominative
HCM 1005	Hereford	Other
HCM 1023	Hereford	Given at
HCM 1023	Hereford	Other
HCM 1024	Hereford	Given at
HCM 1024	Hereford	Other
HCM 1025	Hereford	Given at
HCM 1025	Hereford	Other
HCM 1035	Hereford	Other
HCM 1049	Hereford	Other
HCM 1059	Hereford	Other
HCM 1063	Hereford	Other
HCM 1065	Hereford	Other
HCM 1077	Hereford	Other
HCM 1169	Hereford	Other
HCM 119	Hereford	Given at
HCM 119	Hereford	Other
HCM 1264	Hereford	Given at
HCM 1264	Hereford	Nominative
HCM 1264	Hereford	Other
HCM 1265	Hereford	Given at
HCM 1265	Hereford	Other
HCM 1281	Hereford	Given at
HCM 1281	Hereford	Other
HCM 1366	Hereford	Other
HCM 1367	Hereford	Nominative
HCM 1368	Hereford	Nominative
HCM 1368	Hereford	Other
HCM 1417	Hereford	Nominative
HCM 1417	Hereford	Other
HCM 1438	Hereford	Given at
HCM 1438	Hereford	Nominative
HCM 1438	Hereford	Other
HCM 1439	Hereford	Nominative
HCM 1441	Hereford	Nominative
HCM 1441	Hereford	Other
HCM 1442	Hereford	Other
HCM 1443	Hereford	Nominative
HCM 1443	Hereford	Other
HCM 1485	Hereford	Given at
HCM 1485	Hereford	Nominative
HCM 1489	Hereford	Given at
HCM 1489	Hereford	Nominative
HCM 1507 C	Hereford	Other
HCM 150	Hereford	Nominative
HCM 150	Hereford	Other
HCM 153	Hereford	Nominative
HCM 153	Hereford	Other
HCM 1736	Hereford	Nominative
HCM 1752	Hereford	Given at
HCM 1752	Hereford	Nominative
HCM 1752	Hereford	Other
HCM 1834	Hereford	Nominative
HCM 1836	Hereford	Nominative
HCM 1848	Hereford	Nominative
HCM 1848	Hereford	Other
HCM 1851	Hereford	Nominative
HCM 1854	Hereford	Nominative
HCM 1929	Hereford	Nominative
HCM 1930	Hereford	Nominative
HCM 1931	Hereford	Nominative
HCM 1931	Hereford	Other
HCM 196	Hereford	Given at
HCM 1974	Hereford	Nominative
HCM 1974	Hereford	Other
HCM 1975	Hereford	Nominative
HCM 1975	Hereford	Other
HCM 201	Hereford	Other
HCM 203	Hereford	Given at
HCM 203	Hereford	Other
HCM 2059	Hereford	Given at
HCM 2059	Hereford	Nominative
HCM 2072	Hereford	Given at
HCM 2072	Hereford	Nominative
HCM 2072	Hereford	Other
HCM 207	Hereford	Given at
HCM 207	Hereford	Other
HCM 2093	Hereford	Given at
HCM 2093	Hereford	Nominative
HCM 2093	Hereford	Other
HCM 2096	Hereford	Given at
HCM 2096	Hereford	Nominative
HCM 2096	Hereford	Other
HCM 209	Hereford	Given at
HCM 209	Hereford	Other
HCM 2145	Hereford	Nominative
HCM 2151	Hereford	Nominative
HCM 2159	Hereford	Given at
HCM 2159	Hereford	Nominative
HCM 218	Hereford	Given at
HCM 218	Hereford	Nominative
HCM 218	Hereford	Other
HCM 219	Hereford	Other
HCM 2246	Hereford	Nominative
HCM 2251	Hereford	Nominative
HCM 2251	Hereford	Other
HCM 2257	Hereford	Nominative
HCM 2260	Hereford	Nominative
HCM 2463	Hereford	Other
HCM 2464	Hereford	Other
HCM 2505	Hereford	Other
HCM 2537	Hereford	Given at
HCM 2576	Hereford	Other
HCM 2579	Hereford	Other
HCM 2580	Hereford	Given at
HCM 2580	Hereford	Other
HCM 2581	Hereford	Other
HCM 2583	Hereford	Other
HCM 2584	Hereford	Other
HCM 2585	Hereford	Given at
HCM 2585	Hereford	Other
HCM 2586	Hereford	Given at
HCM 2586	Hereford	Other
HCM 2588	Hereford	Other
HCM 2591	Hereford	Other
HCM 2592	Hereford	Given at
HCM 2594	Hereford	Given at
HCM 2594	Hereford	Other
HCM 2595	Hereford	Other
HCM 2596	Hereford	Given at
HCM 2596	Hereford	Other
HCM 2597	Hereford	Other
HCM 2598	Hereford	Other
HCM 2599	Hereford	Other
HCM 2600	Hereford	Other
HCM 2601	Hereford	Given at
HCM 2601	Hereford	Other
HCM 2663	Hereford	Other
HCM 2664	Hereford	Given at
HCM 2664	Hereford	Other
HCM 2665	Hereford	Nominative
HCM 2666	Hereford	Given at
HCM 2666	Hereford	Nominative
HCM 2667	Hereford	Other
HCM 2668	Hereford	Given at
HCM 2668	Hereford	Nominative
HCM 2669	Hereford	Given at
HCM 2669	Hereford	Nominative
HCM 2670	Hereford	Given at
HCM 2670	Hereford	Nominative
HCM 2671	Hereford	Given at
HCM 2671	Hereford	Nominative
HCM 2672	Hereford	Given at
HCM 2672	Hereford	Nominative
HCM 2673	Hereford	Nominative
HCM 2674	Hereford	Nominative
HCM 2675	Hereford	Given at
HCM 2675	Hereford	Other
HCM 2676	Hereford	Given at
HCM 2712	Hereford	Given at
HCM 2713	Hereford	Given at
HCM 2715	Hereford	Given at
HCM 2716	Hereford	Other
HCM 2718	Hereford	Given at
HCM 2718	Hereford	Other
HCM 2719	Hereford	Given at
HCM 2719	Hereford	Other
HCM 2720	Hereford	Given at
HCM 2720	Hereford	Other
HCM 2721	Hereford	Other
HCM 2722	Hereford	Other
HCM 2723	Hereford	Other
HCM 2748	Hereford	Given at
HCM 2748	Hereford	Other
HCM 2749	Hereford	Given at
HCM 2750	Hereford	Other
HCM 2751	Hereford	Given at
HCM 2751	Hereford	Other
HCM 2779	Hereford	Given at
HCM 2779	Hereford	Other
HCM 2870	Hereford	Given at
HCM 2870	Hereford	Other
HCM 2871	Hereford	Nominative
HCM 2872	Hereford	Nominative
HCM 2872	Hereford	Other
HCM 2873	Hereford	Nominative
HCM 2873	Hereford	Other
HCM 2874	Hereford	Given at
HCM 2874	Hereford	Nominative
HCM 2874	Hereford	Other
HCM 2875	Hereford	Given at
HCM 2875	Hereford	Nominative
HCM 2876	Hereford	Other
HCM 2877	Hereford	Other
HCM 2878	Hereford	Nominative
HCM 2878	Hereford	Other
HCM 2879	Hereford	Given at
HCM 2879	Hereford	Other
HCM 2880	Hereford	Other
HCM 290	Hereford	Given at
HCM 2947.G	Hereford	Other
HCM 2995	Hereford	Nominative
HCM 2996	Hereford	Other
HCM 3001	Hereford	Nominative
HCM 3001	Hereford	Other
HCM 3008	Hereford	Other
HCM 3155	Hereford	Other
HCM 3162	Hereford	Other
HCM 3165	Hereford	Other
HCM 3180	Hereford	Given at
HCM 3180	Hereford	Other
HCM 3198	Hereford	Given at
HCM 3198	Hereford	Other
HCM 352	Hereford	Other
HCM 405	Hereford	Given at
HCM 405	Hereford	Other
HCM 412	Hereford	Given at
HCM 412	Hereford	Other
HCM 432	Hereford	Other
HCM 469	Hereford	Other
HCM 597	Hereford	Nominative
HCM 608	Hereford	Given at
HCM 608	Hereford	Nominative
HCM 609	Hereford	Given at
HCM 623	Hereford	Other
HCM 63	Hereford	Given at
HCM 63	Hereford	Other
HCM 661	Hereford	Given at
HCM 661	Hereford	Other
HCM 681	Hereford	Given at
HCM 700	Hereford	Given at
HCM 700	Hereford	Other
HCM 715	Hereford	Other
HCM 746	Hereford	Other
HCM 755	Hereford	Given at
HCM 755	Hereford	Other
HCM 758	Hereford	Nominative
HCM 758	Hereford	Other
HCM 773	Hereford	Given at
HCM 773	Hereford	Nominative
HCM 773	Hereford	Other
HCM 90	Hereford	Given at
HCM 90	Hereford	Other
HCM 946	Hereford	Given at
HCM 946	Hereford	Nominative
HCM 773	Hereford beyond the Wye	Other
HCM 3001	Hereford cathedral	Other
HCM 559	Heye	Nominative
HCM 196	high street	Other
HCM 746	high street near the church of St. Peter	Other
HCM 186	highway	Other
HCM 1621	Hingham	Nominative
HCM 593	Ho'tone	Nominative
HCM 1264	Hoggesshawe	Nominative
HCM 1265	Hoggesshawe	Nominative
HCM 1281	Hoggesshawe	Nominative
HCM 559	Holeford	Nominative
HCM 2151	Holemare	Other
HCM 2717	Holy Land	Other
HCM 1247	Homptone	Given at
HCM 1247	Homptone	Nominative
HCM 1247	Homptone	Other
HCM 1975	Homptone	Nominative
HCM 1975	Homptone	Other
HCM 174	Hope	Nominative
HCM 1658a	hospital of St. Catherine	Other
HCM 2880	houses	Other
HCM 2779	Hundertone	Other
HCM 119	Hungr	Other
HCM 1621	Hunteleye	Nominative
HCM 3180	Hynnetone	Other
HCM 1311	Ia Bere	Nominative
HCM 559	Inggefeld	Other
HCM 209	Ipr	Nominative
HCM 2597	Ireland	Other
HCM 2598	Ireland	Other
HCM 2599	Ireland	Other
HCM 2600	Ireland	Other
HCM 2717	Ireland	Other
HCM 2721	Ireland	Other
HCM 2722	Ireland	Other
HCM 2723	Ireland	Other
HCM 1505	Kedewelly	Nominative
HCM 1505	Kedewelly	Other
HCM 1504	Kedwell	Nominative
HCM 1506	Kedwely	Other
HCM 1768	Kelthiuleag' and Penuedou in Gower	Other
HCM 1005	Kemeseye	Nominative
HCM 2159	Kemeseye	Nominative
HCM 608	Kemesinge	Nominative
HCM 608	Kemesynge	Nominative
HCM 1504	Kermerdyn	Other
HCM 1505	Kermerdyn	Given at
HCM 1505	Kermerdyn	Nominative
HCM 1505	Kermerdyn	Other
HCM 1506	Kermerdyn	Other
HCM 2217	Keyrlyon	Nominative
HCM 758	Knapeton'	Nominative
HCM 700	Knyhtemorefeld	Other
HCM 1523	Kylthyuleaug	Other
HCM 1417	Kyngescote	Nominative
HCM 1169	Kyngeston	Nominative
HCM 2996	la Bache	Nominative
HCM 1264	la Barewe	Nominative
HCM 1265	la Barewe	Nominative
HCM 1281	la Barewe	Nominative
