"source","relation","target","source_id","source_tags","target_id","target_tags"
"bishop of Hereford","Job","Richard","8e87e205-6214-4b7a-9365-169037bc5031","Job","40265951-9ca6-4f24-a5e9-d07f1a33e4ce","Dead"
"bishop of Hereford","Job","Richard de Swynefeud","12bcf52a-465b-4ca6-974e-29b6c59946b2","Job","0d31c461-12c2-4f00-a6e1-2c34640b4f08","Dead"
"John","Brothers","Stephen de Wyk","68109da3-b1ad-440b-bb29-93e28afd70b5","Principal","3e9ff760-3ac8-472e-9a2f-1be9f7f68d82","Principal"
"bishop of Hereford","Job","Richard de Swynefeud","6b8ed57e-4695-4c58-90b8-b26803979cd7","Job","06565c4d-2361-40b9-b0a2-30874e081ffe","Dead"
"bishop of Hereford","Job","Richard de Swynefeud","6ae2846b-56b1-4fc7-9a6d-6047cdd493c8","Job","35ea03a6-4ebf-4aec-9e8f-5813441b720c","Dead"
"bishop of Hereford","Job","Richard de Swynefeud","bff680a5-c719-41df-9a4b-2138f46e9430","Job","827b918f-2f81-47e2-afb2-33cbc9f80eb9","Dead"
