source	source_id	relation	target	target_id
canon of Hereford	35abdce5-74cf-416a-a53a-53aa671e7c9c	Job	James de Berkeley	335be301-9c85-48a8-8cd8-e6b764dbe9d5
proctor	b69eac7d-7f9c-4618-817b-6ea3828f0f01	Job	Clement de Paston	042d3fdd-9702-4a2c-a29c-649673037bfd
notary public,	16dd67ba-7208-4d9a-ab8b-2dfb7f6de565	Job	Hugh de Thornhagh	837846df-f6a6-4ce4-b586-fd0730f529f8
bishop of Hereford	e647a033-807f-4e73-a182-000d4a663739	Job	Richard de Swynefeud	5b73a57c-9d5f-4a24-a91e-14222a347090
bishop of Hereford	1c87173b-da2d-4fa8-a781-e1d50efe0591	Job	Richard de Swynefeud	e4793bc8-c314-49ed-abac-7d18c2ff2664
clerk	1113fe1d-adb3-4da4-89c6-15e7fb0c4779	Job	Hugh de Thornhagh	837846df-f6a6-4ce4-b586-fd0730f529f8
archdeacon of Salop	b312d124-0774-4023-8efc-b46221bf435e	Job	John de Ros, archdeacon of Salop	0215b08e-aa4a-4945-9557-cce386c64245
dean	8f9ab2e7-5aff-4304-a33c-70c99d656d15	Job	John de Aqua Blank', dean	e9e52df7-a307-42cb-a228-2f58f34a6621
archbishop of Canterbury	4241aa6d-7d31-47b3-b0b4-6303e57ed951	Job	Walter, archbishop of Canterbury	54338f7f-969d-48f9-8976-2e914098678f
dean	178817b8-bc7f-4e70-a3f0-5756c2497442	Job	J[ohn], dean	2b4379c4-dd47-4628-8175-0f8c49ca9394
chaplain	846af912-1349-4a3c-96a4-1431fe7e2e1b	Job	Henry de Gardino	98ae2845-4468-4a8e-8be7-2d07e5ed236a
archdeacon of A[...]n in the church of Cominges ('Archidiacon' Aranen' in ecclesia Couen' ')	1359f525-2cee-47a2-913e-bae45e26de2c	Job	William [de] Testa, archdeacon of A[...]n in the church of Cominges ('Archidiacon' Aranen' in ecclesia Couen' ')	6a761e14-6973-47ea-9ee0-05449246f1c5
chancellor of the church of St. Ethelbert of Hereford	99b9c354-3451-4a96-8238-aab91bf35698	Job	Robert de Gloucestr'	6059a443-2400-4feb-ac8c-781fa958344d
treasurer of Hereford	e948c683-90a7-4b83-97a4-6df1f82bcec2	Job	Nicholas de Reygate	362f7e72-eee3-4557-bc41-9694c7cba016
bailiff of the dean and chapter of Hereford	f6b8f083-fc8e-4638-99dd-92ba8bf13bad	Job	Roger Le Taillur	4b1b43ae-0326-4d0a-a9f8-976638de2b39
clerk	57bd59e6-1078-42db-8f3b-80e93b066b87	Job	Phillip de London	52371e9d-c9e7-4265-8a58-580f55b51e76
citizens	f17d16d2-bee4-41e4-ba58-85ae59836f36	Job	Richard Thurgrim	d0afabc3-d8ab-460d-b275-2e72887529b8
citizens	f17d16d2-bee4-41e4-ba58-85ae59836f36	Job	John de Barwe	3b599dc0-2e48-45b2-b734-89aafeade04f
citizens	f17d16d2-bee4-41e4-ba58-85ae59836f36	Job	Arnald le Clover	7de0b91e-6aef-4b6c-b253-59660bcc52ff
citizens	f17d16d2-bee4-41e4-ba58-85ae59836f36	Job	Hugh Trone	ee526392-d6a7-4974-adec-7983884ddccd
citizens	f17d16d2-bee4-41e4-ba58-85ae59836f36	Job	John de Maddeley	f6d4bf9c-7a41-4330-9e17-171fd37949a1
citizens	f17d16d2-bee4-41e4-ba58-85ae59836f36	Job	John Pryde	0e2b3b46-2de2-4490-a6c9-dfa780a3611c
citizens	f17d16d2-bee4-41e4-ba58-85ae59836f36	Job	Thomas de la Barre	c4af60f4-6962-43ab-9961-922d998cc8bb
citizens	f17d16d2-bee4-41e4-ba58-85ae59836f36	Job	Gilbert Blod	329cb95f-fa37-4acd-8e5d-65cdf90fc8ab
bishop of Annaghdown (Enachdunensis)	b85469f6-eed5-483d-8edd-b63c67ebd579	Job	Gilbert, bishop of Annaghdown (Enachdunensis)	d6ce068c-08dd-40e0-aeee-11a2683968c9
subtreasurer	bdf7742b-bc7a-40a0-864b-5bc71caa108d	Job	William Vallet, subtreasurer	5f40a79b-052c-4f26-a017-19b665cc1856
clerk	e9a329b6-7f22-4315-8d10-2a346ee6a10f	Job	Thomas de Orlenton	aa2684fa-7708-4ff8-86d0-54dcf62af020
le Clover'	e0efea31-3d56-44d7-9948-5c022f41b6d9	Job	Arnald le Clover	7de0b91e-6aef-4b6c-b253-59660bcc52ff
le Clerk'	dff44235-78f8-469e-bfdd-85fdfdacdaba	Job	John le Clerk	b7185c85-19de-4470-8194-ef25ac2d2c61
dean of the church of Hereford	f94a4967-9cec-4455-af9c-cedb7f725962	Job	John de Aqua Blanca	f9cb7d4a-263a-4e20-bd00-c17faef1fcc6
Le Taillur,	ae4724e1-8dd9-42bf-8f41-9f0ce4474632	Job	Roger Le Taillur	4b1b43ae-0326-4d0a-a9f8-976638de2b39
domestic chaplain to William, cardinal-priest of St. Pudentiana's (sancte potenciane)	852dd75c-757a-4a0e-ad9b-c3d87d60dcfc	Job	John de Aqua Blanca	f9cb7d4a-263a-4e20-bd00-c17faef1fcc6
canon of [?] Belves ('canonico Beluacen' '	d81ccd59-7d06-4f2d-bd4c-f3ebe08e5fe1	Job	Gerard de Sisiriaco	3c6344da-c056-41bb-9c85-81b140bbff52
proctor of the chapter of Hereford	ebdd04c5-1979-459e-a29f-327f5748e546	Job	Thomas de Orlenton	aa2684fa-7708-4ff8-86d0-54dcf62af020
notary public	1694fc91-cff5-4e97-83ed-a2eba9957f42	Job	Phillip de London	52371e9d-c9e7-4265-8a58-580f55b51e76
executor of the will of dominus Nicholas de Reygate	a4da22ba-9545-4a38-ba44-f8b942877387	Job	Roger de Ereyntonia	a6c7445f-5fad-4ba6-9510-c9384b48025c
treasurer of the church of Hereford	03aae43d-769a-49b8-a458-001b15783686	Job	Nicholas de Reygate	2a4f07fd-7fd4-4d1a-8264-f1eb2a0041d7
treasurer in the church of St. Ethelbert of Hereford	27c80789-ad40-4998-8702-98a5e854b045	Job	Nicholas de Reygate	41b6b175-3867-4fb1-a8e6-acb9b02c2d42
