UUID	Document Number	QUOTE_TRANSCRIPTION	TYPE	Named by	Role	JOB	TAGS	COMMENTS
96ca8c58-5cfe-4548-89a8-e95ae6e72aaf	HCM 2260	William Seruat	PERSON		Other	sureties to the said bishop, dean and chapter		
f4de9b42-9424-409c-b094-01be84ffed32	HCM 2260	William de Donecastr	PERSON		Other	sureties to the said bishop, dean and chapter		
4cdad838-f8db-4d9a-b93f-158673b65304	HCM 2260	John Vanne	PERSON		Other	sureties to the said bishop, dean and chapter		
d2c63c80-9992-443b-b81b-df29c18f1820	HCM 2260	the king	PERSON	Office	Other		Office	King Edward II
8e2888fb-8472-4776-83af-6c512b78c047	HCM 2260	the said bishop	PERSON	Office	Other		Office	Richard Swinfield, Bishop of Hereford
aa29d97b-1978-4543-8397-cc5140b1fd9d	HCM 2260	dean and chapter	PERSON	Office	Other		Collective|Office	of Hereford
f1d7cf72-8477-4d73-9cb1-f4c7b9033477	HCM 2246	Edward II	PERSON		Principal		Principal	King Edward II
c201eef4-9d32-4009-80d0-6498a1f4f4db	HCM 2246	the canons of Hereford	PERSON	Office	Other		Collective|Office	that is, the dean and chapter of Hereford
9e9f95a6-dfb1-4dac-90dd-ec27ee65fef1	HCM 2246	Anselm	PERSON		Other	dean of Hereford	Dead	
9d76f6fd-211a-43eb-8217-2212f8c5b896	HCM 2246	the citizens of Hereford	PERSON	Office	Other		Collective|Office	
6e836549-01b4-4b66-b2ae-0c09d645c662	HCM 2226	Stephen	PERSON		Principal	rector of the church of Dunre	Principal	
29ae756b-2d54-4059-8699-12774dd0746d	HCM 2226	John Germeyn	PERSON		Other	his proctor		
81d3c70d-bd09-4d64-940d-cb66a5791420	HCM 2226	Robert de Dunre	PERSON		Principal		Principal	
d7bdbb4e-c36c-4698-a286-7b12981a80b8	HCM 2226	Adam son of Williem of William Denre	PERSON		Principal		Principal	
2f2217e9-8bec-4d80-a09a-359fee47ffcd	HCM 2226	Williem of the same	PERSON		Other			that is, William de Dunre
304d8f85-50ad-4015-b2d3-77a6de6653bd	HCM 1621	the king	PERSON	Office	Principal		Principal|Office	King Edward II
fd8881f4-ffa1-4f21-969f-32f841573a1b	HCM 1621	the sheriff of Gloucestershire	PERSON	Office	Principal		Office|Principal	
06482151-a406-42cd-9f36-de6b89f1048e	HCM 1621	the abbot of Gloucester	PERSON	Office	Other		Office	
dfc41168-e412-4b71-a75e-71709c2d6d31	HCM 1621	Hugh de Wygorn	PERSON		Other			
d9ffd0cb-724d-481b-b5fa-b914ccbf85ac	HCM 1621	Hugh Putteleye	PERSON		Other			
b1374425-ff21-4476-adf9-b611d7d42a2e	HCM 1621	Jordan de Hingham	PERSON		Other			
ec8bc4f7-3ee6-4cf3-8ba6-333db405cdaa	HCM 1621	William de Ryonnes	PERSON		Other			
bf50d49d-24ff-48e0-ae16-e7c12b4d88b1	HCM 1621	Ellen	PERSON		Other			Ellen daughter of Robert le Teyntour
9101352f-0266-47f4-8d25-d00912b8b939	HCM 1621	Robert le Teyntour	PERSON		Other			
ad572809-0c6f-454f-b7fa-ae73b9881eaf	HCM 1621	Walter le Spicer	PERSON		Other			
d5119878-a5e7-4b5b-8cbf-8f121fb01986	HCM 1621	John de Weston	PERSON		Other			
47963bd8-fdb4-4d03-ae5b-a2ddc09a80a0	HCM 1621	Agnes wife of John de Weston	PERSON		Other			
d1006678-cb4b-46aa-a4d6-400c431fd8f4	HCM 1621	Richard de Hunteleye	PERSON		Other			
8636d622-507e-42c5-914c-67a61c4b19d6	HCM 1621	Robert de Lassindon	PERSON		Other			
5ec06862-b8ec-4cc7-8a55-439d0357f885	HCM 1621	the king's justices	PERSON	Collective	Other		Collective	
0625f81b-e268-4816-9ff2-8e7046ec1fbf	HCM 1621	the king	PERSON	Office	Witness		Office|Witness	
4866f87d-927f-4472-af2a-7431c9a9dcd6	HCM 1599	Henry de Derby	PERSON		Principal	vicar in spiritualities and temporalities of dominus Robert, archbishop of Canterbury	Principal	
81f10a0d-78ae-46e3-bf18-79e96d463be9	HCM 1599	Robert, archbishop of Canterbury	PERSON		Other			
5ff7a1ce-2111-4e01-b547-843bb3a69109	HCM 1599	the official of the archdeacon of Norwich	PERSON	Office	Other		Office	
89d1a387-d5c4-4ac1-91df-d8e427876e0e	HCM 1599	the abbot of Gloucester	PERSON	Office	Other		Office	
a894f528-68c2-47ce-a32e-ca9fa3d53303	HCM 1622	John, abbot	PERSON		Principal		Principal	John, Abbot of the convent of St Peter's, Gloucester
1453a15a-91c7-40bb-994b-925193720cd8	HCM 1622	the convent of St. Peter's, Gloucester	PERSON	Collective	Principal		Collective|Principal	
19429b10-eb63-41b1-8d5a-9e4a194415b7	HCM 1622	William de Wanetyng	PERSON		Principal		Principal	is William de Wanetyng NOT a citizen of Salisbury like Reginald?; check to see if there's a typo (should it have been Citizens plural?)
77462e4d-0eb3-4ab5-a450-02b234375734	HCM 1622	Reginald de Todeworth	PERSON		Principal	citizen of Salisbury (Nova Sarum)	Principal	
f7aa24b1-5c57-41f7-816e-85f7accce18b	HCM 1622	the monastery of Gloucester	PERSON	Collective	Other		Collective	
8d5d0b29-468d-4f3d-8bdf-1a6c9196669f	HCM 1652	Edward II	PERSON		Principal		Principal	King Edward II
54f2b64f-ab9b-41b0-8a81-deb47520f24b	HCM 1652	the abbot and convent of St. Peter's, Gloucester,	PERSON	Office	Principal		Collective|Office|Principal	
85da06d1-1981-4945-b3b3-f46ce2afc385	HCM 1652	Walter Mantel	PERSON		Other	his servant		
38568756-eeed-46c4-94a2-0966612453fb	HCM 1652	Roger de Cestr	PERSON		Other		Dead	
34df088e-dbd2-457f-bcda-906438c2a552	HCM 1652	Edward I	PERSON		Other		Dead	King Edward I
9719e9e9-544e-453e-bd8b-c8205890712d	HCM 1652	The abbot and convent	PERSON	Collective	Other		Collective	Abbot and convent of St Peter's Gloucester
4f962c10-4267-4104-be8d-f2c54714a5aa	HCM 1652	William Geraud	PERSON		Other			
d4f6ca91-8578-4536-b878-b9baa7c7c3a3	HCM 1652	the king	PERSON	Office	Other		Office	Edward II
0de564c0-6440-4198-811c-230cf969db2e	HCM 1652	William	PERSON		Other			
da0264b7-3fa4-47fc-95e6-f00356b012ea	HCM 1652	Walter	PERSON		Other			
b4d8e8bd-29f4-42d3-9f4d-affde914e087	HCM 1610	John de Bristoll	PERSON		Principal		Principal	
0c3114b2-1de7-4479-8513-32049e74e794	HCM 1610	Abbot and convent of St. Peter's, Gloucester	PERSON	Office	Principal		Collective|Office|Principal	
fdb5ea7b-4a3b-4597-ade0-46807a0372bf	HCM 1610	John	PERSON		Other			John de Bristol
ff3bca60-d5ba-4eb5-9ab0-7b0e97d837c5	HCM 1734	William de Preston	PERSON		Principal		Principal	
7d0cfb7f-280f-415f-8ee5-99cff6e94d19	HCM 1734	Hugh de Sothynton	PERSON		Principal		Principal|Scribe	
90713039-97bc-4f68-9865-f025787d7ff5	HCM 1734	Randolphe Berde	PERSON		Other			
cd203e49-8e5c-4e6a-a837-b271db70e654	HCM 1734	Walter de Weston	PERSON		Witness		Witness	
8c5ff270-4039-4d6f-ad45-7ed477ac9a1c	HCM 1734	Richard berde	PERSON		Witness		Witness	
2dfcb406-c012-434d-b252-61320d8a2094	HCM 1734	Ralph le Botiler	PERSON		Other			
cc4b7af1-8b53-4ce0-b68d-93dfa2756e0d	HCM 1734	Giles le Ferur	PERSON		Witness		Witness	
b611f517-4dd6-4e31-9523-93ed9dc7a08c	HCM 1734	Roger Pelliparie	PERSON		Witness		Witness	
3f05750d-8d52-4a47-a42d-a397b007d8a2	HCM 1736	Roger de la Grene de Bulleye	PERSON		Principal		Principal	
13d68220-cbd3-4aeb-9129-1af4242586cf	HCM 1736	Alice	PERSON		Principal		Principal	
efbe9731-9696-44ce-b204-cb7df9d2b00f	HCM 1736	John de Acle	PERSON		Principal	chaplain	Principal	
4227b685-958b-4fdb-9318-0de0512eaefe	HCM 1736	Ralph de Hengham	PERSON		Witness		Witness	
64bd0d44-876b-4571-a29a-d1b56614b5d6	HCM 1736	William de Bereford	PERSON		Witness		Witness	
e65e506b-9a85-44ac-8c35-25bddd66ed95	HCM 1736	Elias de Bekynham	PERSON		Witness		Witness	
c7de35c1-3a58-49c0-9afc-2ae759e33e1a	HCM 1736	Peter Malorre	PERSON		Witness		Witness	
f0cc88a3-b132-422e-978f-8adf3cce5fc5	HCM 1736	William Howard	PERSON		Witness		Witness	
6c3bf6be-390c-4c65-9364-3773218dae85	HCM 1736	Lambert de Trikingham	PERSON		Witness		Witness	
85e21ed5-889b-42a0-9d5a-e4680e7be1e2	HCM 1683	John	PERSON		Principal	abbot	Principal	
d7d4ca15-b3b4-4ca0-abdf-380b6920fd59	HCM 1683	John atte Mulle	PERSON		Other			
2297c89f-84e9-4e3f-9044-096cb53823d6	HCM 1683	Herbert atte Mulle	PERSON		Other		Dead	
dff12d71-503f-48b6-9571-7c7f71f2edf6	HCM 1683	Herbert	PERSON		Other			
5f5b8a1d-aabb-48c0-81ac-3669d30ab4d7	HCM 1683	Edith	PERSON		Other			
01e86e90-6d6a-41fc-bcdb-6e10edf7903d	HCM 1683	Petronilla	PERSON		Other			
34bbb125-baa1-4ec6-89b9-27a8afcf8c37	HCM 1683	Prior of Stanleye	PERSON	Office	Other		Office	
416b8557-646e-47bd-a9e5-0b20768a1f70	HCM 1703	Philip Bosse	PERSON		Principal		Principal	
b7e68b5a-0933-4b0c-8595-92534ec8b6b5	HCM 1703	Philip Bosse of Turford	PERSON		Principal		Principal	
e4a0e544-3bd7-4462-ae46-30b6f6dced8b	HCM 1703	Walter of Turford	PERSON		Principal		Principal	
d387440c-d6df-449b-9233-f86744d5022c	HCM 1703	Stephen the smith	PERSON		Other			
56bdeda0-12df-4d7b-8b64-807e929834e5	HCM 1703	Walter Iudas	PERSON		Other			
8416127b-7e27-4b76-afca-e545a4c69ba1	HCM 1703	Stephen	PERSON		Other			
fda23b58-d832-4194-b7f3-9d815c7cdc93	HCM 1703	Hugh son of Philip	PERSON		Other			
de690b88-a0dc-47eb-b85e-65850b0a6804	HCM 1703	Waiter ludas	PERSON		Other			
279af170-35d7-4426-acfa-d39fbcda38ee	HCM 1703	Hugh	PERSON		Other			
63f9730d-050f-46e9-8c6b-a13468cffbb3	HCM 1703	Thomas, lord of Overton	PERSON		Witness		Witness	
90ee7057-f6fa-4f5e-b705-6eaba11ab5e9	HCM 1703	William Carbonel	PERSON		Witness		Witness	
42f21db6-93cc-4143-a07e-4d1c9c0b5bfa	HCM 1703	Alan Plotemo	PERSON		Witness		Witness	
d17048eb-0acf-4b68-a2ae-e135885ea5b6	HCM 1703	Robert Culbel	PERSON		Witness		Witness	
0b91bbc4-2a30-40a1-a0ed-c1667e35c119	HCM 1703	Hugh son of Philip	PERSON		Scribe		Scribe	
9dd33041-f1aa-48f3-ba83-35b0ca1120f1	HCM 1746	John	PERSON		Principal	abbot	Principal	
0eda24ee-ba63-413d-bf82-167bbbfa8154	HCM 1746	John le Smyth	PERSON		Principal		Principal	
29d77476-2fe7-424c-ac79-7951457ce683	HCM 1746	Walter le Calewe	PERSON		Other			
0b9c36ea-adc7-4fca-ba11-d9b3d6a40bd4	HCM 2580	John Lythfot	PERSON		Other			
f41ae198-e61c-4178-bcda-9d4ab8094b41	HCM 2580	bailiff of the dean and chapter of the church of Hereford	PERSON	Office	Other	bailiff of the dean and chapter of the church of Hereford	Office	
9e81505e-cc52-421e-ae33-a4afa63e2cf0	HCM 2580	dean and chapter	PERSON	Collective	Other		Collective	
6fd4a4a1-84a4-4619-b0e2-991a4d6ad30d	HCM 2580	W.	PERSON		Other			
f25fb833-706b-441b-b546-77ee2afa9fac	HCM 2581	John de Comberton	PERSON		Principal		Principal	
f1068dfe-6ac9-49b1-9bea-922656c0fe1a	HCM 2581	Dean and chapter of Hereford	PERSON	Office	Other		Office	
e090a6c7-cd3e-4156-a397-4ba4a62612d5	HCM 2581	John de Barewe	PERSON		Other			
896233f1-297d-4cbd-842f-72f127a699bc	HCM 2582	vicar of Preston	PERSON	Office	Other		Office	
7470a726-574a-4d81-97e5-a3390d7cf4d9	HCM 2582	Walter de la Bache	PERSON		Other	reeves of Preston		
d6ed1bf6-6722-4160-b3f7-fb53251a6158	HCM 2582	Walter de Wardlowe	PERSON		Other	reeves of Preston		
bc4ba1ce-828a-4110-aac4-f8323d3ae287	HCM 2582	reeves of Preston	PERSON	Office	Other		Office	
50213761-a960-4a64-adc0-76e902cd1d6a	HCM 2582	Preston	PERSON		Other			
02c0e237-e66d-4944-a894-81fba8306367	HCM 2579	Nicholas de Warreyk	PERSON		Principal		Principal	
1b474a42-dff1-4ca0-9794-f18178119a3c	HCM 2579	Dean and chapter of Hereford	PERSON	Collective	Other		Collective	
f1f44e76-35d2-401c-8b71-a3abf0903d92	HCM 2579	John de la Barewe	PERSON		Other			
1b928f8a-52e9-46ab-98bb-2500e9dca409	HCM 2576	John de Comberton	PERSON		Principal		Principal	
93d838f9-a883-4951-a358-43af48be5b83	HCM 2576	Dean and chapter of the church of St. Ethelbert of Hereford	PERSON	Office	Other		Office	
4bd065a0-cf15-46c3-bbe8-9363ac4d0871	HCM 2576	John de la Barewe	PERSON		Other			
773b93ef-8e19-448b-908d-3eb6a148da28	HCM 946	Matilda daughter of John le fiz John de Clehonger;	PERSON		Principal		Principal	
378043f2-0701-4624-af0a-f9c107dd0112	HCM 946	John le fiz John	PERSON		Other			
186e575f-85ea-46a4-bf0c-4127e3a099b9	HCM 946	Dean and chapter of the cathedral church of St. Ethelbert of Hereford	PERSON	Collective	Principal		Collective|Principal	
1397fc30-d492-4703-81a0-2389bfdfd2d5	HCM 946	the custos of the almshouse of the same place	PERSON	Office	Principal		Principal|Office	that is:  custos of the almshouse of the cathedral church of Hereford, which lies in the vill of Clehonger
899c77fe-0fac-43f5-abd5-b14d56d8b0a6	HCM 946	the said custos	PERSON		Other			that is, the custos of the almshouse of the cathedral church of Hereford, which lies in the vill of Clehonger
86ac531d-3df9-4b82-aa8a-af56f09debaf	HCM 946	Harry de Penebrugge, knight	PERSON		Witness	knight	Witness	
50e1f0c3-19d3-4430-a2cd-6b1cbb37213d	HCM 946	Richard de Clehonger	PERSON		Witness		Witness	
58bdd41b-9536-4d73-91b8-6c3446f7fd48	HCM 946	William Lethenard	PERSON		Witness		Witness	
2c819048-3d7f-4f75-8168-641063df4676	HCM 946	Richard de la Oldehulle	PERSON		Witness		Witness	
a9331670-6ae2-4249-979e-f559a8e80cbe	HCM 946	Gilbert de la lowe	PERSON		Witness		Witness|Scribe	
49f6f4b9-845b-49fa-9f28-aca0ebb2d44f	HCM 773	Richard called the clerk, chaplain, son and heir of the late Richard le Clerke of Hereford beyond the Wye	PERSON		Principal		Principal	aka Richar le Clerk junior?
4426e6f2-2791-4e02-9284-d0d72ca61635	HCM 773	Thomas	PERSON		Principal	clerks	Principal	that is, Thomas de Orleton
4ac3bcc2-7ea7-4d6e-99c4-ecb0584d7718	HCM 773	Adam de Orletone	PERSON		Principal	clerks	Principal	
3933c840-c4a2-44e3-bbf1-69aba258a7e1	HCM 773	Richard le Clerke	PERSON		Other		Dead	that is, Richard le Clerke (senior), of Hereford beyond the Wye
08001619-49d6-4a5f-bf77-31f2b9546fc1	HCM 773	Roger Penk	PERSON		Other			
ab545085-93b2-4c8f-b0e1-9d809e906f10	HCM 773	John be Torbervile, knight	PERSON		Other			
3e7fc419-ce86-4129-9a13-c8ff8e8469e0	HCM 773	Henry de Orleton	PERSON		Witness	bailiffs of the town of Hereford	Witness	bailiff of the town of Hereford
f9812db7-f80b-4a4c-8ac0-4294e0ad865a	HCM 773	Roger Penk	PERSON		Witness	bailiffs of the town of Hereford	Witness	bailiff of the town of Hereford
4afd1ad3-0eb4-45bc-a01c-9166af03505a	HCM 773	Philip le Werror	PERSON		Witness	bailiffs of the town of Hereford	Witness	bailiff of the town of Hereford
a2181791-6aa0-44da-b2a4-b75bfb0693dc	HCM 773	William de Welynton	PERSON		Witness		Witness	
9b5a345a-ba27-4c40-b2f1-a937bb0d8d6f	HCM 773	John Alkin	PERSON		Witness		Witness	
cc8df5d9-285c-4051-902a-9ee90654d83b	HCM 773	Roger de Poteston	PERSON		Witness		Witness	
ef7f88f8-fd15-48b0-aecc-cfc2df894289	HCM 773	William le Bonde	PERSON		Witness		Witness	
af45ee00-78e0-4fa7-837e-ca57538c3d48	HCM 773	Walter le baggere	PERSON		Witness		Witness	
a28bd87d-82e8-4fae-b5fd-245f2dec05c4	HCM 773	William de Trilleck	PERSON		Witness		Scribe|Witness	
b6ccec94-0e2d-4d25-8498-1702d9d3664c	HCM 1005	Elianora, wife of Roger Rac	PERSON		Principal		Principal	
06db3a78-80a2-4482-803d-ed92af476c42	HCM 1005	Elianora	PERSON		Principal		Principal	
cd7d3404-7bbc-4569-94d9-36c3b496a491	HCM 1005	Roger Racy	PERSON		Other			
d8a9e9ac-cdc8-4ef4-812a-bd9fb092b170	HCM 1005	John de Kemeseye	PERSON		Principal	treasurer of Hereford	Principal	
1881790e-66fa-4c7c-b81a-5fd35c55a633	HCM 1005	the executors of the will of dominus Richard de Swynefeud	PERSON	Collective	Principal		Collective|Principal	
5b73a57c-9d5f-4a24-a91e-14222a347090	HCM 1005	Richard de Swynefeud	PERSON		Other	bishop of Hereford		
76f9b39c-dee0-4faa-9949-42e69c4b7b96	HCM 1005	Richard	PERSON		Other		Dead	aka Richard Swinfield, Bishop of Hereford
be425f09-151b-46d6-9392-1cc1014b4981	HCM 1003	Richerd de Wynchecoumbe	PERSON		Principal		Principal	
4a989880-5caf-4947-9760-e93d75f6d709	HCM 1003	the executors of the will of dominus Richard de Swynefeud	PERSON	Office	Principal		Collective|Principal|Office	
e4793bc8-c314-49ed-abac-7d18c2ff2664	HCM 1003	Richard de Swynefeud	PERSON		Other	bishop of Hereford	Dead	
5dfe165f-d4f3-4cb0-b751-9287db949d51	HCM 1003	Richard	PERSON		Other		Dead	Richard Swinfield, Bishop of Hereford
837846df-f6a6-4ce4-b586-fd0730f529f8	HCM 758	Hugh de Thornhagh	PERSON		Scribe	notary public,	Scribe	clerk of the diocese of York, notary public
8884c176-bf2d-4ead-8e57-e8db2843d4d9	HCM 758	William de Knapeton	PERSON		Principal	canon of the cathedral church of Hereford	Principal	
e9e52df7-a307-42cb-a228-2f58f34a6621	HCM 758	John de Aqua Blank', dean	PERSON		Principal	dean	Principal	John de Aqua Blanca, Dean of Hereford
0215b08e-aa4a-4945-9557-cce386c64245	HCM 758	John de Ros, archdeacon of Salop	PERSON		Principal	archdeacon of Salop	Principal	aka John Ross
6635e605-d8f7-41e8-8920-14d69e82399e	HCM 758	Robert de Gloucestr', chancellor	PERSON		Principal	chancellor	Principal	Robert de Gloucester, chancellor of Hereford Cathedral
335be301-9c85-48a8-8cd8-e6b764dbe9d5	HCM 758	James de Berkeley	PERSON		Principal	proctor of Richard, bishop of Herefor	Principal	
e46f8446-478f-43cd-acc4-192005862915	HCM 758	Richard, bishop of Hereford	PERSON		Other			Richard Swinfield
c1355643-a1ae-4b06-89b3-3bda0f529c3e	HCM 758	William	PERSON		Other			that is, William Knapeton
042d3fdd-9702-4a2c-a29c-649673037bfd	HCM 758	Clement de Paston	PERSON		Other	proctor		
49b8f7ef-9561-4751-a342-a70bba9b9ae0	HCM 758	the bishop of Hereford	PERSON	Office	Other		Office	Richard Swinfield
f1a22d14-ab3e-4239-929b-cac3ca8c2a71	HCM 758	the dean and chapter	PERSON	Collective	Other		Collective	Dean and chapter of Hereford
54338f7f-969d-48f9-8976-2e914098678f	HCM 758	Walter, archbishop of Canterbury	PERSON		Other	commissary		
0af31050-856d-4e07-8368-6ec10c1c51ef	HCM 758	the Pope	PERSON		Other			John XXII = successor to Clement V (d. April 1314)
0018eec8-ac0c-4fae-8dd8-e733eccca66b	HCM 758	Gilbert de Raigate, rector of the church of Brugge	PERSON		Witness	clerks of the diocese of Hereford	Witness	aka Gilbert Reygate
5340a45a-de0c-40bc-8680-d9ff406be247	HCM 758	Stephen Normal	PERSON		Witness	clerks of the diocese of Hereford	Witness	
568fa0fb-fac1-41f8-a8c0-936a9836b8fb	HCM 758	William de Stretton	PERSON		Witness	clerks of the diocese of Hereford	Witness	
6a33e398-7f0c-42c6-a0fc-0fd1e3fa8ef2	HCM 758	John de Catfeld	PERSON		Witness	clerks of the diocese of Hereford	Witness	
71bfa4af-d0e8-480a-8761-091a8e47eca9	HCM 758	Richard Heruy	PERSON		Witness	clerks of the diocese of Hereford	Scribe|Witness	
6b04540f-8f36-4bdd-9c29-55814fadc832	HCM 2874	Adam Scheld	PERSON		Principal		Principal	
6059a443-2400-4feb-ac8c-781fa958344d	HCM 2874	Robert de Gloucestre	PERSON		Principal	chancellor of the church of St. Ethelbert of Hereford	Principal	
329cb95f-fa37-4acd-8e5d-65cdf90fc8ab	HCM 2874	Gilbert Blod	PERSON		Witness	citizens	Witness	
c4af60f4-6962-43ab-9961-922d998cc8bb	HCM 2874	Thomas de la Barre	PERSON		Witness	citizens	Witness	
0e2b3b46-2de2-4490-a6c9-dfa780a3611c	HCM 2874	John Pryde	PERSON		Witness	citizens	Witness	
f6d4bf9c-7a41-4330-9e17-171fd37949a1	HCM 2874	John de Maddeleye	PERSON		Witness	citizens	Witness	
ee526392-d6a7-4974-adec-7983884ddccd	HCM 2874	Hugh Troue	PERSON		Witness	citizens	Witness	
7de0b91e-6aef-4b6c-b253-59660bcc52ff	HCM 2874	Arnald le Clover	PERSON		Witness	citizens	Witness	
3b599dc0-2e48-45b2-b734-89aafeade04f	HCM 2874	John de Barewe	PERSON		Other	citizens		
d0afabc3-d8ab-460d-b275-2e72887529b8	HCM 2874	Richard Thurgrym	PERSON		Other	citizens		
1845aa2f-b6b7-4bd8-af56-d555a5e7926c	HCM 2874	many others	PERSON	Collective	Other		Collective	
d6ce068c-08dd-40e0-aeee-11a2683968c9	HCM 2872	Gilbert, bishop of Annaghdown (Enachdunensis)	PERSON		Principal	bishop of Annaghdown (Enachdunensis)	Principal	
41b6b175-3867-4fb1-a8e6-acb9b02c2d42	HCM 2872	Nicholas de Reygate	PERSON		Other	treasurer in the church of St. Ethelbert of Hereford	Dead	
52371e9d-c9e7-4265-8a58-580f55b51e76	HCM 2871	Phillip de London	PERSON		Other	clerk		
ebfe2184-24e2-43f8-9554-dcdfa4d189e0	HCM 2871	the dean of St. Paul's, London	PERSON	Office	Other		Office	
eb5236ac-9f6f-429b-bb73-264115e9a308	HCM 2871	the apostolic see	PERSON	Office	Other		Collective|Office	
267fb74d-34ec-475c-a155-cf1fa08de60a	HCM 2871	the Court of Canterbury	PERSON	Office	Other		Collective|Office	
aa2684fa-7708-4ff8-86d0-54dcf62af020	HCM 2871	Thomas de Orleton	PERSON		Principal	clerk	Principal	
4c3662ea-76d1-40fc-8fa7-ed95f946e96c	HCM 2871	the chapter of Hereford	PERSON	Office	Other		Collective|Office	
6a761e14-6973-47ea-9ee0-05449246f1c5	HCM 2871	William [de] Testa, archdeacon of A[...]n in the church of Cominges ('Archidiacon' Aranen' in ecclesia Couen' ')	PERSON		Principal	archdeacon of A[...]n in the church of Cominges ('Archidiacon' Aranen' in ecclesia Couen' ')	Principal	
6534220f-0122-46ea-827b-a1b712b77f7d	HCM 2871	Couen	PERSON		Other			
3c6344da-c056-41bb-9c85-81b140bbff52	HCM 2871	Gerard de Sisiriaco	PERSON		Other	canon of [?] Belves ('canonico Beluacen' '		
edfe3887-3a24-4bd9-a97b-39c66f2b0dc2	HCM 2871	the sub-dean of Hereford	PERSON	Office	Other		Office	
f9cb7d4a-263a-4e20-bd00-c17faef1fcc6	HCM 2871	John de Aqua Blanca	PERSON		Other	dean of the church of Hereford		
6b4a9572-9e55-40e6-82f9-292cbcc84f17	HCM 2871	William, cardinal-priest of St. Pudentiana's (sancte potenciane)	PERSON		Other			
362f7e72-eee3-4557-bc41-9694c7cba016	HCM 2871	Nicholas de Reygate	PERSON		Other	treasurer of Hereford		
98ae2845-4468-4a8e-8be7-2d07e5ed236a	HCM 2871	Henry de Gardino	PERSON		Other	chaplain		
2888e7c2-64e9-468c-b78a-2ff90fcf447b	HCM 2871	Ralph de Knulle	PERSON		Other			
0ba15a77-0a83-499a-936d-e61b06fde79d	HCM 2871	Roger de Wynton	PERSON		Other			
7961a43b-c3e0-4c9e-98b4-c1de109b95aa	HCM 2873	Everard son of John le Clerk'	PERSON		Principal		Principal	
b7185c85-19de-4470-8194-ef25ac2d2c61	HCM 2873	John le Clerk	PERSON		Other	le Clerk'		
a6c7445f-5fad-4ba6-9510-c9384b48025c	HCM 2873	Roger de Ereyntonia	PERSON		Other	executor of the will of dominus Nicholas de Reygate		Roger de Breynton, not Ereyntonia--double check that this is in Handlist!
2a4f07fd-7fd4-4d1a-8264-f1eb2a0041d7	HCM 2873	Nicholas de Reygate	PERSON		Other	treasurer of the church of Hereford	Dead	
d2e2a67c-5cd4-4ca2-9dc3-deea3bb45343	HCM 2873	John son of Roger de Brunsope	PERSON		Other			
323f76b1-7e9c-489d-9a23-404dcb43ed5d	HCM 2873	Roger de Brunsope	PERSON		Other			
7d25c0b3-1b0c-4ef5-a7de-bc020cf6b875	HCM 2873	Nicholas	PERSON		Other		Dead	Nicholas Reigate
