UUID	Document Number	QUOTE_TRANSCRIPTION	TYPE	Named by	Role	JOB	TAGS	COMMENTS
6b165349-a928-4f75-a604-771dad032baa	HCM 2251	Edward II	PERSON		Principal		Principal	King Edward II
53412897-1ac4-49d9-a3fe-f9b4dd3ac3d5	HCM 2251	Robert de Gloucestre	PERSON		Principal		Principal	
8e854c2d-7d64-4727-a1ae-698360505f20	HCM 2251	Dean and chapter of the church of St. Ethelbert of Hereford	PERSON	Office	Principal		Collective|Office|Principal	
28489dab-738a-4a97-8625-5eb00e9b998f	HCM 2257	Richard [de Swinfield], bishop of Hereford	PERSON		Principal	bishop of Hereford	Principal	
8c671be8-51ff-4579-835b-cab4030fa2d6	HCM 2257	the dean and chapter of Hereford	PERSON	Office	Principal		Collective|Office|Principal	
6acf3cfa-8864-4755-9e5e-3327d39c6ce2	HCM 2257	the king	PERSON		Other			King Edward II
cf4d93aa-1369-469c-bb61-55a5d4242189	HCM 2257	the bishop	PERSON		Other			Richard Swinfield
97ebd842-449a-448b-9d72-908d78b7897e	HCM 2257	the dean and chapter	PERSON	Office	Other		Collective|Office	of Hereford
261a12cb-cff3-4dcb-a935-8111b1d7f093	HCM 2260	Edward II	PERSON		Principal		Principal	King Edward II
14850019-7f04-458b-9784-2cdf798c10bc	HCM 2260	Richard Swinfield, bishop of Hereford	PERSON		Principal	bishop of Hereford,	Principal	
adbc997d-c151-458d-b756-4b3fbe1e96c3	HCM 2260	Dean and chapter of the church of St. Ethelbert of Hereford	PERSON	Office	Principal		Office|Collective|Principal	
09997502-fe31-45fd-8ee3-fe2a0050fd21	HCM 2260	the clergy of the province of Canterbury	PERSON	Collective	Other		Collective	
063e6ea2-4a2f-4104-93bf-0aed15a46efa	HCM 2260	John de Sandale	PERSON		Other	sureties to the said bishop, dean and chapter		
a5cf5ae2-0998-4eb1-bd12-e504c979b84f	HCM 2260	Robert Baynard	PERSON		Other	sureties to the said bishop, dean and chapter		
ca36bf85-afc5-45ce-8ca8-02b5e8b097a7	HCM 2260	Anthony Pessaigne	PERSON		Other	sureties to the said bishop, dean and chapter		
c43ac10a-c0f3-484c-9681-fed532ad4eb2	HCM 2260	John de Bureford	PERSON		Other	sureties to the said bishop, dean and chapter		
9feb5df7-057a-4488-a1c0-07f5250aa206	HCM 2260	William Coumartyn	PERSON		Other	sureties to the said bishop, dean and chapter		
b97a5279-ac46-4de0-b38c-e5f2e22e3e58	HCM 2260	William Trente	PERSON		Other	sureties to the said bishop, dean and chapter		
