UUID,FILE,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,VOCAB_TEMPORAL_BOUNDS,LAT,LNG,PLACE_TYPE,VERIFICATION_STATUS,TAGS,JOB,COMMENTS
b3bdd5ec-9f2a-4ba8-8b39-1dec1e285725,HCM_218.txt,Monytone,char-offset:519,,,,,,,,,Nominative,,
104ebf11-59a7-4818-b23f-15c97df16673,HCM_218.txt,Roger called de Ledebury.,char-offset:529,PERSON,,,,,,,,Present|Scribe|Witness,,
a390cdde-bbff-4f74-b5b4-76314b964db3,HCM_218.txt,Ledebury,char-offset:545,,,,,,,,,Nominative,,
50fdc7eb-cbef-4b81-991c-3452720158e1,HCM_218.txt,Latin,char-offset:555,,,,,,,,,Language,,
fa7b5d1e-a01d-4da7-bb73-b083405bf75e,HCM_218.txt,Seal,char-offset:562,,,,,,,,,Material feature,,
a82fe856-299e-4fc4-b0c5-5d26e3c7bf17,HCM_219.txt,John le Werrur,char-offset:27,PERSON,,,,,,,,Present|Principal,chaplain,
089685cf-8dcd-45eb-9927-03feac1f2c7f,HCM_219.txt,chaplain,char-offset:43,,,,,,,,,Job,,
9825c9ed-166d-4409-b5d9-470aab7c5b03,HCM_219.txt,Walter le Bonde,char-offset:56,PERSON,,,,,,,,Present|Principal,,
e1f51625-794b-4464-b3e3-a1c0a6b4c636,HCM_219.txt,Hereford,char-offset:96,PLACE,http://sws.geonames.org/2647074,Hereford,,52.05684,-2.71482,,UNVERIFIED,,,
7974aef2-021f-4327-bef3-83bd505f0965,HCM_219.txt,Hugh Levioth,char-offset:157,PERSON,,,,,,,,,,
e37d79d8-a018-4fef-9891-b8af5876e172,HCM_219.txt,Matilda de Magdalona,char-offset:189,PERSON,,,,,,,,,,
3adbb851-a7aa-48b6-9935-d80f49311fb9,HCM_219.txt,Bihyndewalle,char-offset:268,PLACE,,,,,,,UNVERIFIED,,,
67111815-f20d-4348-9f7f-84cf3f489f1b,HCM_219.txt,Richard de Cruce,char-offset:293,PERSON,,,,,,,,Witness,bailiffs,
cfef431b-258e-4455-9076-d3e68ca5cdc6,HCM_219.txt,Thomas Tope,char-offset:311,PERSON,,,,,,,,Witness,Richard de Cruce,
cf8d8268-6473-48ce-afa1-6dc310e6c7d3,HCM_219.txt,John de la Sale,char-offset:324,PERSON,,,,,,,,Witness,Richard de Cruce,
769de711-c532-4aa0-a110-79fd6f0b3b9e,HCM_219.txt,bailiffs,char-offset:341,,,,,,,,,Job,,
e2640e9d-bbd2-4eb3-b33e-f6d0e4f37212,HCM_219.txt,Hereford,char-offset:365,PLACE,http://sws.geonames.org/2647074,Hereford,,52.05684,-2.71482,,UNVERIFIED,,,
51ce1cde-9bc6-4318-a8dc-0cc70c298887,HCM_219.txt,Hugh Leuioth,char-offset:375,PERSON,,,,,,,,,,
532c27d4-c249-489c-91b0-4f7cab5fd4b9,HCM_219.txt,Nicholas de Werham,char-offset:392,PERSON,,,,,,,,Witness,,
287dd38b-6169-476d-8208-0fea45ece005,HCM_219.txt,John de Luwel,char-offset:412,PERSON,,,,,,,,Witness,,
a84602e3-ca0c-497d-9d9f-4a37834cfdf7,HCM_219.txt,Henry le Bakare,char-offset:427,PERSON,,,,,,,,Witness|Scribe,,
2d2cf59e-14d2-4033-8425-783419e41a2f,HCM_219.txt,Latin,char-offset:444,,,,,,,,,Language,,
a96a0413-f80d-4468-8e86-fcaae9a274bf,HCM_219.txt,Seal,char-offset:451,,,,,,,,,Material feature,,
