Source	Target	Role
HCM 1610	Abbot and convent of St. Peter's, Gloucester	Principal
HCM 2593	Abbot of Wygemore, collector of the fifteenth in the archdeaconry of Salop	Principal
HCM 559	Adam called le Turnur de Staunton	Principal
HCM 1848	Adam Carbonel	Other
HCM 2665	Adam de Barewe	Principal
HCM 119	Adam de Colewalle	Witness
HCM 1443	Adam de Orl'ton'	Other
HCM 773	Adam de Orletone	Principal
HCM 589	Adam de Sned	Witness
HCM 186	Adam de Wyghtfeld	Principal
HCM 2059	Adam de Wythfeld	Other
HCM 3215 A	Adam Hanlyn'	Other
HCM 2879	Adam Hwyty	Witness
HCM 1768	Adam Knoyl	Other
HCM 1523	Adam Knoyl	Other
HCM 1311	Adam Knoyl	Other
HCM 174	Adam le Porter, bailiff of the fee	Witness
HCM 2995	Adam Murimouth	Principal
HCM 2996	Adam Murimouth	Other
HCM 2996	Adam Murimouth	Other
HCM 2995	Adam Murimouth	Other
HCM 1368	Adam Orleton, bishop of Hereford	Principal
HCM 1367	Adam Orleton, bishop of Hereford	Principal
HCM 1366	Adam Orleton, bishop of Hereford	Principal
HCM 2093	Adam Orleton, bishop of Hereford	Other
HCM 1854	Adam Orleton, bishop of Hereford	Other
HCM 2874	Adam Scheld	Principal
HCM 2226	Adam son of Williem of William Denre	Principal
HCM 755	Adam Whyty	Witness
HCM 3180	Agnes Anondeu	Other
HCM 1621	Agnes wife of John de Weston	Other
HCM 564	Agnes wife of William son of John de la More	Principal
HCM 1703	Alan Plotemo	Witness
HCM 623	Alexander de Bykenor	Other
HCM 1438	Alfredus	Principal
HCM 1736	Alice	Principal
HCM 90	Alice	Other
HCM 1657	Alice	Principal
HCM 196	Alice	Principal
HCM 678	Alice daughter of Richard le Mason de Lenhales	Other
HCM 608	Alice de Braumford	Other
HCM 609	Alice de Braumford	Other
HCM 1247	Alice de la Halle	Principal
HCM 1751	Alyna wife of Richard Berde de Ledbury	Principal
HCM 2246	Anselm	Other
HCM 2260	Anthony Pessaigne	Other
HCM 1417	archbishop of Canterbury	Other
HCM 1441	archbishop of York	Other
HCM 1439	archdeacon of Aran in the church of Comminges	Other
HCM 1441	archdeacon of Aran in the church of Comminges, papal chaplain	Other
HCM 1442	archdeacon of Aran in the church of Comminges, papal chaplain and envoy in England	Other
HCM 1417	archdeacon of Hereford	Other
HCM 2874	Arnald le Clover	Witness
HCM 1974	Arnald le Lymbernare	Other
HCM 2145	a son of Stephen de Buterleye, lord of Buterleye	Other
HCM 1658	Aymer de Valence	Principal
HCM 119	bailiff	Other
HCM 153	bailiff of the bishop of Hereford	Other
HCM 63	bailiff of the dean and chapter of Hereford	Other
HCM 2580	bailiff of the dean and chapter of the church of Hereford	Other
HCM 119	baker	Other
HCM 1930	Bardi	Other
HCM 3165	Bartholomew	Other
HCM 3165	Bartholomew de Badelesmere	Other
HCM 1368	Bartholomew de Badelesmere	Principal
HCM 1368	Bartholomew de Badelesmere	Other
HCM 2093	Bartholomew the scribe of Hereford	Other
HCM 290	Beatrice	Principal
HCM 3155	Benedict de Paston	Other
HCM 1025	bishop of Hereford	Other
HCM 1049	bishop of Hereford	Other
HCM 1023	bishop of Hereford	Other
HCM 1024	bishop of Hereford	Other
HCM 1035	bishop of Hereford	Other
HCM 1059	bishop of Hereford	Other
HCM 1367	bishop of Hereford	Other
HCM 1366	bishop of Hereford	Other
HCM 1442	bishop of Hereford	Other
HCM 1441	bishop of Hereford	Other
HCM 1439	bishop of Hereford	Other
HCM 1851	bishop of Lincoln	Other
HCM 1441	bishop of Worcester	Other
HCM 2722	Bishops of Lincoln and London	Principal
HCM 2721	Bishops of Lincoln and London	Principal
HCM 2723	Bishops of Lincoln and London	Principal
HCM 2600	Bishops of Lincoln and London	Principal
HCM 2599	Bishops of Lincoln and London	Principal
HCM 2598	Bishops of Lincoln and London	Principal
HCM 2597	Bishops of Lincoln and London	Principal
HCM 2717	Bishops of Lincoln and London	Principal
HCM 1834	bishops of London	Other
HCM 1442	bishops of Mende and London	Principal
HCM 1441	bishops of Mende and London	Principal
HCM 1851	bishops of Winchester	Other
HCM 1025	Bromyard Hoddesbach	Scribe
HCM 1438	canon	Other
