"source","relation","target","source_id","source_tags","target_id","target_tags"
"Nicholas de Yanewrth","Proxy","Dean and chapter of Hereford","15769589-562a-4846-b206-506581b1ee09","Scribe|Proxy","b36d8dfa-fe6d-411f-aa66-1f5227bf49db","Principal|Collective"
"John de Wytteney","Proxy","Dean and chapter of Hereford","245760e2-d1a2-47db-a440-ae3e41f3d17f","Scribe|Proxy","58ace96d-ea70-4e1f-97f2-081d3ae83a89","Principal|Collective"
"William the Young","Proxy","Dean and chapter of Hereford","47934b11-5d1a-4ce8-a0e2-5b11ba911ff7","Scribe|Proxy","aac5d283-92a7-4d05-8534-a2abd863ca1f","Principal|Collective"
"John de Wytteneye","Proxy","Dean and chapter of Hereford","ff30e430-2309-4d56-96da-042372a4cf40","Scribe","6a92da1a-f028-4b3c-ac62-472e4d9b631c","Principal|Collective"
