"source","relation","target","source_id","source_tags","target_id","target_tags"
"John de Barwe","proxy","Dean and chapter of Hereford","08d508ca-5b69-4e96-8173-031b6a030b72","Principal","d1b9550b-67ea-4278-81d0-aa0ef25b9eb7","Principal|Collective"
"John de Whyteneie","Proctor","Dean and chapter of Hereford","91661644-eb8f-4a93-9148-6e0b7e0a42b5","","e36e9a94-9f02-4c34-b131-a6e03505a5e1","Principal|Collective"
